,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
10,2023-01-18,MMM,126.8499984741211,127.19000244140624,122.26000213623048,122.75,115.752197265625,4258500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2023-01-19,MMM,122.0,122.29000091552734,118.31999969482422,118.43000030517578,111.678466796875,4979700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2023-01-20,MMM,118.5500030517578,120.70999908447266,116.76000213623048,120.6500015258789,113.77191162109376,4373500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2023-01-23,MMM,120.61000061035156,123.9000015258789,120.41000366210938,122.62000274658205,115.62960815429688,3412200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2023-01-24,MMM,116.04000091552734,120.0,114.5,115.0,108.44402313232422,10276500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2023-01-25,MMM,114.5,116.23999786376952,112.75,112.93000030517578,106.49201965332033,5993200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2023-01-26,MMM,113.51000213623048,114.0999984741211,111.76000213623048,113.5500030517578,107.07667541503906,4625600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2023-01-27,MMM,113.7300033569336,115.77999877929688,113.45999908447266,115.25,108.67976379394533,4114500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2023-01-30,MMM,114.47000122070312,116.0,112.55999755859376,112.58000183105467,106.16197967529295,5902900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2023-01-31,MMM,113.1500015258789,115.08000183105467,112.37999725341795,115.08000183105467,108.51945495605467,5071200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2023-02-01,MMM,114.5500030517578,116.73999786376952,113.6500015258789,115.86000061035156,109.25498962402344,3100800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2023-02-02,MMM,116.08999633789062,120.8499984741211,115.51000213623048,120.29000091552734,113.43243408203124,4917200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2023-02-03,MMM,118.93000030517578,119.2300033569336,116.79000091552734,117.48999786376952,110.79206848144533,2682400.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2023-02-06,MMM,116.79000091552734,117.26000213623048,115.87999725341795,116.5,109.85850524902344,2487300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2023-02-07,MMM,115.81999969482422,117.20999908447266,114.7699966430664,116.9000015258789,110.2356948852539,2182700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2023-02-08,MMM,116.16999816894533,116.69000244140624,115.01000213623048,115.25,108.67976379394533,2511700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2023-02-09,MMM,116.43000030517578,116.79000091552734,112.45999908447266,112.93000030517578,106.49201965332033,3601900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2023-02-10,MMM,113.2300033569336,114.22000122070312,112.6999969482422,113.87999725341795,107.38786315917967,2274500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2023-02-13,MMM,114.37000274658205,115.62000274658205,113.8000030517578,115.27999877929688,108.7080535888672,2247600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2023-02-14,MMM,114.79000091552734,115.08000183105467,112.9499969482422,114.20999908447266,107.69905090332033,2462300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2023-02-15,MMM,113.6500015258789,114.81999969482422,113.1999969482422,114.79000091552734,108.24597930908205,2527300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2023-02-16,MMM,112.5,113.33999633789062,110.76000213623048,112.0,107.01342010498048,2695100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2023-02-17,MMM,111.95999908447266,113.04000091552734,110.68000030517578,112.98999786376952,107.95934295654295,2827700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2023-02-21,MMM,112.0,112.4000015258789,109.18000030517578,109.25,104.3858642578125,3889100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2023-02-22,MMM,109.52999877929688,110.37999725341795,108.51000213623048,108.94000244140624,104.08966064453124,2655000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2023-02-23,MMM,109.6999969482422,110.29000091552734,108.01000213623048,108.91000366210938,104.06099700927734,2943800.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
36,2023-02-24,MMM,108.11000061035156,108.54000091552734,106.76000213623048,107.8000030517578,103.00041961669922,2862900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
