,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
7952,7952,12/15/2023,AMP,376.8399963,379.6199951,375.7900085,377.8500061,377.8500061,1214300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8193,8193,12/15/2023,AME,163.1699982,164.5500031,162.3999939,163.1300049,163.1300049,1451300,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0
8434,8434,12/15/2023,AMGN,276.269989,279.269989,273.3299866,275.4500122,275.4500122,8731000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8675,8675,12/15/2023,APH,98.95999908,99.93000031,98.80999756,99.27999878,99.27999878,5623900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8916,8916,12/15/2023,ADI,201.9400024,202.7700043,200.0200043,200.8800049,200.8800049,7057400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9157,9157,12/15/2023,ANSS,296.480011,297.8999939,292.9400024,295.4700012,295.4700012,1412700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9398,9398,12/15/2023,AON,311.3200073,314.2200012,307.5799866,310.4299927,310.4299927,2907600,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9639,9639,12/15/2023,APA,35.63999939,35.72999954,34.95999908,35.34999847,35.34999847,9846500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9880,9880,12/15/2023,AAPL,197.5299988,198.3999939,197,197.5700073,197.5700073,128256700,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
10121,10121,12/15/2023,AMAT,162.2100067,164.2100067,161.4900055,161.9499969,161.9499969,8577200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
10362,10362,12/15/2023,APTV,87.73999786,88.23000336,86.51999664,87.19999695,87.19999695,5073900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10603,10603,12/15/2023,ACGL,74.33000183,74.80000305,72.84999847,73.41999817,73.41999817,4562700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10844,10844,12/15/2023,ADM,76.44000244,76.62000275,75.58000183,75.75,75.75,11609200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11085,11085,12/15/2023,ANET,231.5,237.2100067,231.5,235.6000061,235.6000061,2869100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11326,11326,12/15/2023,AJG,220.5500031,225,220.3600006,222.8099976,222.8099976,2558200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11567,11567,12/15/2023,AIZ,162.9700012,164.1900024,161.4100037,163.2899933,163.2899933,1519500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11808,11808,12/15/2023,T,16.52000046,16.65999985,16.45000076,16.52000046,16.52000046,65897600,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
12049,12049,12/15/2023,ATO,115,115.0299988,113.9800034,114.8199997,114.8199997,2470500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
12290,12290,12/15/2023,ADSK,241.3500061,243.1699982,238.8899994,242.2899933,242.2899933,3179500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12531,12531,12/15/2023,ADP,235.8899994,237.1799927,233.6900024,234.1399994,234.1399994,5260500,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12772,12772,12/15/2023,AZO,2600.909912,2634.620117,2566.800049,2628.050049,2628.050049,357600,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13013,13013,12/15/2023,AVB,190.5800018,190.6799927,185.0899963,187.8899994,187.8899994,1647000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13254,13254,12/15/2023,AVY,198.3000031,200.2799988,196.7700043,197.7799988,197.7799988,706400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13495,13495,12/15/2023,AXON,252.9100037,256.8200073,250.1699982,255.9799957,255.9799957,815500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13736,13736,12/15/2023,BKR,33.47999954,33.59999847,32.90000153,33.58000183,33.58000183,19746900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13977,13977,12/15/2023,BALL,58.97999954,59.66999817,58.22000122,58.43000031,58.43000031,4433400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14218,14218,12/15/2023,BAC,33.81999969,34.02000046,33.29000092,33.59999847,33.59999847,83732200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14459,14459,12/15/2023,BK,51.29000092,51.74000168,51.09999847,51.63000107,51.63000107,8085700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14700,14700,12/15/2023,BBWI,41.88000107,41.95999908,40.91999817,41.24000168,41.24000168,4399500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14941,14941,12/15/2023,BAX,38.75,39.16999817,38.50999832,38.70000076,38.70000076,6879700,0,0,0,0,0,0,0,-100,0,0,0,0,100,0,0,0,0,0,0
15182,15182,12/15/2023,BDX,234.2200012,237.6399994,233.9299927,237.0099945,237.0099945,2943100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15423,15423,12/15/2023,BBY,78.05000305,78.41999817,76.55000305,77.31999969,77.31999969,6057100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15664,15664,12/15/2023,BIO,312.8800049,312.8800049,304.3200073,306.1199951,306.1199951,525800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15905,15905,12/15/2023,TECH,74.91999817,76.44000244,73.83000183,75.98999786,75.98999786,2959200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16146,16146,12/15/2023,BIIB,257.3399963,259.8599854,248.0099945,248.1300049,248.1300049,3862400,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
16387,16387,12/15/2023,BLK,791.9000244,819,789.4699707,819,819,2702600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16628,16628,12/15/2023,BX,127.6900024,130.4100037,127.0400009,129.3699951,129.3699951,7990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16869,16869,12/15/2023,BA,255.6999969,265.519989,255.6999969,264.269989,264.269989,14989000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
