No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
133,DAN,Dana Inc,Consumer Cyclical,Auto Parts,USA,1861.83,,12.68,1.28%,1894064
134,DASH,DoorDash Inc,Communication Services,Internet Content & Information,USA,72347.45,,175.09,-0.53%,2305444
135,DAVE,Dave Inc,Technology,Software - Application,USA,1247.49,29.42,91.7,6.64%,369677
136,DBD,Diebold Nixdorf Inc,Technology,Software - Application,USA,1843.46,0.85,48.41,1.34%,183350
137,DBRG,DigitalBridge Group Inc,Real Estate,Real Estate Services,USA,2260.18,16.05,12.25,-0.97%,1112443
138,DFH,Dream Finders Homes Inc,Consumer Cyclical,Residential Construction,USA,2608.46,9.84,28.74,-2.91%,672148
139,DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction,USA,47707.12,10.44,149.87,-0.89%,4895541
140,DJT,Trump Media & Technology Group Corp,Communication Services,Internet Content & Information,USA,8022.78,,36.59,1.08%,10797339
141,DKL,Delek Logistics Partners LP,Energy,Oil & Gas Refining & Marketing,USA,2087.06,14.1,39.86,1.74%,165081
142,DKNG,DraftKings Inc,Consumer Cyclical,Gambling,USA,33773.46,,39.88,-3.83%,10980103
143,DKS,"Dicks Sporting Goods, Inc",Consumer Cyclical,Specialty Retail,USA,18577.41,15.96,223.39,2.07%,1027927
144,DLX,Deluxe Corp,Industrials,Conglomerates,USA,1012.46,18.84,23.32,-1.93%,329280
145,DNN,Denison Mines Corp,Energy,Uranium,Canada,1856.65,47.27,2.08,-3.26%,12740364
146,DNOW,Dnow Inc,Industrials,Industrial Distribution,USA,1511.62,7.65,14.42,-0.96%,582953
147,DOCN,DigitalOcean Holdings Inc,Technology,Software - Infrastructure,USA,3407.89,44.91,38.13,-3.15%,591396
148,DOOO,BRP Inc,Consumer Cyclical,Recreational Vehicles,Canada,3775.35,27.53,51.71,0.37%,105404
149,DRH,Diamondrock Hospitality Co,Real Estate,REIT - Hotel & Motel,USA,2004.55,33.76,9.65,-0.41%,1908878
150,DVN,Devon Energy Corp,Energy,Oil & Gas E&P,USA,22092.75,6.28,33.88,-0.73%,10477198
151,DXC,DXC Technology Co,Technology,Information Technology Services,USA,3838.29,272.68,21.46,-1.20%,1678918
152,DXPE,"DXP Enterprises, Inc",Industrials,Industrial Distribution,USA,1234.12,20.53,79.6,-1.22%,221022
153,EAT,"Brinker International, Inc",Consumer Cyclical,Restaurants,USA,5697.96,31.25,127.85,0.31%,573989
154,ECPG,"Encore Capital Group, Inc",Financial,Mortgage Finance,USA,1170.36,,49.23,0.35%,87162
155,EFC,Ellington Financial Inc,Real Estate,REIT - Mortgage,USA,1120.58,9.63,12.35,0.08%,712183
156,EFX,"Equifax, Inc",Industrials,Consulting Services,USA,33012.27,58.98,265.81,0.20%,816277
157,EFXT,Enerflex Ltd,Energy,Oil & Gas Equipment & Services,Canada,1175.99,,9.48,-0.11%,211034
158,ENLC,Enlink Midstream LLC,Energy,Oil & Gas Midstream,USA,6664.24,63.54,14.64,-0.41%,2296397
159,ENOV,Enovis Corp,Industrials,Specialty Industrial Machinery,USA,2535.23,,46.14,-1.66%,496454
160,ENPH,Enphase Energy Inc,Technology,Solar,USA,10091.06,168.39,73.84,1.15%,1925151
161,ENVX,Enovix Corporation,Industrials,Electrical Equipment & Parts,USA,1669.47,,8.98,-1.32%,3029670
162,EPR,EPR Properties,Real Estate,REIT - Specialty,USA,3445.26,19.48,45.12,0.83%,529135
163,ERO,Ero Copper Corp,Basic Materials,Copper,Canada,1414.18,76.91,13.69,-4.47%,579566
164,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,64614.46,14.01,19.04,-0.88%,10819203
165,ETSY,Etsy Inc,Consumer Cyclical,Internet Retail,USA,6680.11,30.1,58.98,0.68%,2822994
166,EVGO,EVgo Inc,Consumer Cyclical,Specialty Retail,USA,1807.61,,6.09,-2.09%,12583452
167,EVRI,Everi Holdings Inc,Consumer Cyclical,Gambling,USA,1160.88,90.52,13.46,0.00%,478563
168,EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services,USA,23288.87,23.59,183,-0.85%,871897
169,EXPI,eXp World Holdings Inc,Real Estate,Real Estate Services,USA,1971.6,,12.86,-0.16%,1117340
170,EXTR,Extreme Networks Inc,Technology,Communication Equipment,USA,2399.57,,18.17,-0.06%,591080
171,F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,USA,41292.86,11.85,10.39,0.00%,40560680
172,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA,48019.84,9.35,163.34,0.68%,1718361
173,FCX,Freeport-McMoRan Inc,Basic Materials,Copper,USA,59065.92,30.26,41.59,-1.16%,9669335
174,FG,F&G Annuities & Life Inc,Financial,Insurance - Life,USA,5735.46,,44.64,1.89%,67040
175,FLNC,Fluence Energy Inc,Utilities,Utilities - Renewable,USA,3128.06,323.96,17.17,0.59%,3408647
176,FLR,Fluor Corporation,Industrials,Engineering & Construction,USA,9239.73,36.59,54.64,-1.41%,1631496
177,FND,Floor & Decor Holdings Inc,Consumer Cyclical,Home Improvement Retail,USA,11693.42,61.16,110.47,-1.29%,1050200
178,FOR,Forestar Group Inc,Real Estate,Real Estate - Development,USA,1384.78,6.95,27.84,-1.83%,135081
179,FOUR,Shift4 Payments Inc,Technology,Software - Infrastructure,USA,9297.36,55.22,101.85,1.31%,1471074
