,Datetime,Interval,Ticker,Combined_Signals_65,SMA_65_trend,Open,High,Close_SMA65_Diff_Percent,vol_vs_avrg_vol,RSI,Low,Close,Volume,Avg_Volume_10,ATR,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,SMA_65_trend_diff
227,12/11:30,1h,GOOG,Sell,Up,195.75,196.66,6.62,0.38,77.83,195.68,196.24,1829922,4796412.2,1.97,189.1,180.91,176.32,184.06,12,85.45,196.75,60.58,176.52,1,0,0,2,0,1,0,0,0,1,0.6375760165127531
228,12/12:30,1h,GOOG,Sell,Up,196.22,196.39,6.1,0.38,76.4,195.81,195.96,1368280,3584797.8,1.87,190.05,181.37,176.43,184.7,11,85.45,196.75,60.58,176.52,1,0,0,2,0,1,0,0,0,1,0.6451517740885322
229,12/13:30,1h,GOOG,Sell,Up,195.96,196.3,5.22,0.6,71.57,194.77,195.01,1984180,3304838.0,1.84,190.95,181.81,176.54,185.33,10,85.45,196.75,60.58,176.52,1,0,0,2,0,1,0,0,0,1,0.6257573908025904
2566,12/09:30,1h,GOOGL,Sell,Up,194.96,195.18,7.05,1.28,76.03,192.47,193.99,9913449,7753536.0,2.16,185.78,178.41,174.53,181.22,14,85.54,195.45,58.79,173.67,1,0,0,2,0,1,0,0,0,1,0.6104546749230337
2567,12/10:30,1h,GOOGL,Sell,Up,194.0,194.73,6.75,0.43,76.2,193.56,194.11,3291015,7684045.1,2.09,186.68,178.87,174.63,181.84,13,85.54,195.45,58.79,173.67,1,0,0,2,0,1,0,0,0,1,0.6212121212121247
2568,12/11:30,1h,GOOGL,Sell,Up,194.12,195.1,6.66,0.36,76.96,194.1,194.63,2672370,7396247.6,2.01,187.62,179.32,174.73,182.48,12,85.54,195.45,58.79,173.67,1,0,0,2,0,1,0,0,0,1,0.6409089059540918
2569,12/12:30,1h,GOOGL,Sell,Up,194.61,194.75,6.1,0.3,75.35,194.19,194.31,1595760,5233893.9,1.9,188.57,179.78,174.84,183.13,11,85.54,195.45,58.79,173.67,1,0,0,2,0,1,0,0,0,1,0.6478789358427832
2570,12/13:30,1h,GOOGL,Sell,Up,194.32,194.66,5.28,0.47,71.15,193.23,193.46,2225389,4714658.6,1.87,189.48,180.23,174.95,183.76,10,85.54,195.45,58.79,173.67,1,0,0,2,0,1,0,0,0,1,0.6290912050189377
370,12/09:30,1h,IOT,Buy,Down,45.72,46.59,-6.1,0.74,33.04,45.69,46.28,508719,688843.1,0.77,46.89,51.27,51.54,49.29,14,40.32,53.06,14.74,45.41,1,0,0,0,1,1,0,0,2,0,-0.2813727638938204
371,12/10:30,1h,IOT,Buy,Down,46.28,46.33,-5.56,0.59,33.18,45.81,46.29,389320,655992.5,0.75,46.69,51.12,51.53,49.02,13,40.32,53.06,14.74,45.41,1,0,0,0,1,1,0,0,2,0,-0.2692424889766869
