0
UPST
PYPL
HOOD
BAC
CRWD
COIN
UAL
PG
INTC
ZM
PINS
BA
MARA
U
IBM
WMT
GS
F
LRCX
MO
ETSY
PDD
JMIA
HIMS
CLSK
AMD
VFC
DT
WDC
QCOM
RIOT
DIS
C
GOOGL
SOFI
