Date,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,SMA_20,SMA_50,SMA_200
2024-03-18 00:00:00-04:00,1d,a,147.13243050325602,147.60999971945915,145.16242902082124,145.35147094726562,2281300,2148800.0,62.27912732481094,140.45286865234374,134.92326370239257,122.6411706161499
2024-03-19 00:00:00-04:00,1d,a,145.2519960794642,146.82401067727616,144.73462053522985,146.64491271972656,1976200,2084170.0,64.47249576544874,141.11201934814454,135.2581623840332,122.79927040100098
2024-03-20 00:00:00-04:00,1d,a,146.4658231878067,146.9632955623325,145.6400172242957,146.53546142578125,1526500,2001030.0,64.1326609889793,141.70649948120118,135.53475662231446,122.94712703704835
2024-03-21 00:00:00-04:00,1d,a,146.83394336875867,149.38099941889362,146.43595637239284,147.9880828857422,1574200,1964160.0,66.64549647761243,142.53827362060548,135.8941307067871,123.10160369873047
2024-03-22 00:00:00-04:00,1d,a,148.09752150297533,148.52534042764066,145.6797980391808,146.70458984375,1076600,1912990.0,62.48031565237815,143.3053756713867,136.219676361084,123.25416454315186
2024-03-25 00:00:00-04:00,1d,a,146.79414410072843,147.32147879384655,143.05315724583542,144.82415771484375,1710500,1944280.0,56.87225938472832,144.00531845092775,136.53567092895508,123.40152809143066
2024-03-26 00:00:00-04:00,1d,a,144.8739081008201,145.52061612657832,143.65013028852042,143.6799774169922,2021000,2027150.0,53.71310471433844,144.59532089233397,136.81166854858398,123.55256980895996
2024-03-27 00:00:00-04:00,1d,a,144.91370893058985,146.7344597977432,143.79937557516834,146.62501525878906,1212200,1925220.0,59.8891857200414,145.11070251464844,137.1467658996582,123.71289512634277
2024-03-28 00:00:00-04:00,1d,a,146.7941353437406,146.93342699540983,144.6251631703694,144.77439880371094,2176500,1933050.0,54.92932566243486,145.51614151000976,137.4928076171875,123.85036346435547
2024-04-01 00:00:00-04:00,1d,a,145.6772960066201,145.9962028613899,143.92335392433375,145.05943298339844,968300,1652330.0,55.54006382045794,145.85126266479492,137.79798614501954,123.98450798034668
2024-04-02 00:00:00-04:00,1d,a,143.52471627180208,143.83364774189113,142.09962616635153,143.6741943359375,1376500,1561850.0,51.86197357957588,145.92808151245117,138.06033721923828,124.11222095489502
2024-04-03 00:00:00-04:00,1d,a,143.27558873161814,144.35187650776885,142.29894793828882,143.2357177734375,1211200,1485350.0,50.71705010634685,145.90885314941406,138.28745300292968,124.22868873596191
2024-04-04 00:00:00-04:00,1d,a,144.62094262988143,144.76046057626928,140.6446735546698,140.85394287109375,1183900,1451090.0,44.91646264021466,145.67750930786133,138.48504119873047,124.3337423324585
2024-04-05 00:00:00-04:00,1d,a,143.68416561994184,144.99963351165607,142.93674482864463,143.62437438964844,1655800,1459250.0,51.8192283615638,145.43096847534179,138.77505004882812,124.46734031677246
2024-04-08 00:00:00-04:00,1d,a,143.3054771395066,145.28862382927005,142.5181854213446,143.9632110595703,1247300,1476320.0,52.60156378301101,145.27300567626952,139.0698455810547,124.60179149627686
2024-04-09 00:00:00-04:00,1d,a,145.4979174961175,146.9229925396851,144.99963695674722,146.89309692382812,873700,1392640.0,58.827086518783105,145.29039001464844,139.40115112304687,124.74916076660156
