Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
AAPL,179.49000549316406,180.1300048828125,177.4600067138672,177.5500030517578,14031054,0.0,0.0
AAPL,177.5500030517578,177.77999877929688,176.22999572753906,176.6999969482422,11245527,0.0,0.0
AAPL,176.71200561523438,177.18020629882812,176.52000427246094,176.60499572753906,7173805,0.0,0.0
AAPL,176.61000061035156,177.8699951171875,176.39500427246094,177.5699005126953,7438948,0.0,0.0
AAPL,177.57000732421875,177.85009765625,174.82000732421875,176.10000610351562,20649861,0.0,0.0
AAPL,176.11000061035156,176.75,175.00039672851562,175.72000122070312,12509398,0.0,0.0
AAPL,175.72000122070312,176.4600067138672,175.49009704589844,176.30999755859375,9412994,0.0,0.0
AAPL,176.50999450683594,177.3000030517578,174.07000732421875,175.18960571289062,21766845,0.0,0.0
AAPL,175.19000244140625,175.5,174.6699981689453,175.2165069580078,12005313,0.0,0.0
AAPL,175.1999969482422,176.22000122070312,174.8699951171875,175.72000122070312,8109672,0.0,0.0
AAPL,175.72999572753906,175.77000427246094,175.25999450683594,175.32130432128906,5648279,0.0,0.0
AAPL,175.3300018310547,175.5,174.75,174.83999633789062,5865480,0.0,0.0
AAPL,174.83999633789062,175.19000244140625,174.36000061035156,175.05999755859375,8235325,0.0,0.0
AAPL,175.06500244140625,175.19940185546875,173.97999572753906,174.16000366210938,11235045,0.0,0.0
AAPL,174.0,175.6300048828125,173.5800018310547,174.80999755859375,15837677,0.0,0.0
AAPL,174.80999755859375,175.75999450683594,174.80999755859375,175.38999938964844,8766723,0.0,0.0
AAPL,175.38999938964844,176.0,174.8300018310547,175.52000427246094,5558002,0.0,0.0
AAPL,175.50999450683594,175.97000122070312,175.02000427246094,175.7946014404297,5541936,0.0,0.0
AAPL,175.8000030517578,176.0399932861328,175.3000030517578,175.3699951171875,5192134,0.0,0.0
AAPL,175.36500549316406,176.10000610351562,175.30999755859375,175.6699981689453,5023774,0.0,0.0
AAPL,175.6699981689453,175.86000061035156,175.55999755859375,175.67999267578125,5327480,0.0,0.0
AAPL,175.85000610351562,176.05999755859375,174.5500030517578,175.16000366210938,28875723,0.0,0.0
AAPL,175.14999389648438,175.3800048828125,174.52499389648438,174.86570739746094,8301989,0.0,0.0
AAPL,174.86000061035156,175.14999389648438,174.58999633789062,174.74000549316406,5925317,0.0,0.0
AAPL,174.72999572753906,175.0399932861328,174.00999450683594,174.0800018310547,5505065,0.0,0.0
AAPL,174.07000732421875,174.6300048828125,173.82000732421875,174.2449951171875,6242467,0.0,0.0
AAPL,174.24000549316406,174.8000030517578,174.13870239257812,174.76499938964844,6186199,0.0,0.0
AAPL,174.77000427246094,175.1199951171875,174.6300048828125,174.9600067138672,9404404,0.0,0.0
AAPL,176.47999572753906,178.97999572753906,176.1699981689453,177.0218963623047,22986329,0.0,0.0
AAPL,177.0319061279297,177.83999633789062,176.44000244140625,177.80999755859375,7649414,0.0,0.0
AAPL,177.8000030517578,178.64999389648438,177.7449951171875,178.5449981689453,5913851,0.0,0.0
AAPL,178.5449981689453,179.2100067138672,178.5449981689453,179.11500549316406,6522049,0.0,0.0
AAPL,179.1199951171875,179.3800048828125,178.8699951171875,178.9600067138672,4692584,0.0,0.0
AAPL,178.96499633789062,179.07000732421875,178.27000427246094,178.41909790039062,5151407,0.0,0.0
AAPL,178.4149932861328,178.4149932861328,177.77499389648438,177.97999572753906,6221950,0.0,0.0
AAPL,177.52000427246094,178.6699981689453,177.1300048828125,177.75999450683594,13717340,0.0,0.0
AAPL,177.77000427246094,177.77000427246094,177.14999389648438,177.5850067138672,4986178,0.0,0.0
AAPL,177.5800018310547,178.1999969482422,177.5,178.13499450683594,4831585,0.0,0.0
AAPL,178.13999938964844,178.5800018310547,177.77999877929688,178.5800018310547,4485361,0.0,0.0
AAPL,178.5800018310547,179.38999938964844,178.57000732421875,179.13499450683594,5953775,0.0,0.0
AAPL,179.1300048828125,179.6300048828125,178.74000549316406,179.10499572753906,5357277,0.0,0.0
AAPL,179.10000610351562,179.44000244140625,178.92999267578125,179.08999633789062,4759565,0.0,0.0
AAPL,179.25999450683594,179.69500732421875,177.25999450683594,177.5800018310547,11888750,0.0,0.0
AAPL,177.58999633789062,178.02000427246094,176.86000061035156,176.98500061035156,6443832,0.0,0.0
AAPL,176.98500061035156,177.63999938964844,176.94500732421875,177.63999938964844,3895126,0.0,0.0
AAPL,177.64999389648438,177.75999450683594,177.30999755859375,177.5,2860366,0.0,0.0
AAPL,177.5,177.79510498046875,176.5800018310547,177.1699981689453,7442547,0.0,0.0
AAPL,177.1699981689453,177.77999877929688,176.33999633789062,176.75999450683594,7722325,0.0,0.0
AAPL,176.77000427246094,176.8300018310547,175.39999389648438,175.49000549316406,8164723,0.0,0.0
AAPL,175.1699981689453,176.05999755859375,174.58999633789062,175.39520263671875,16014441,0.0,0.0
AAPL,175.3946990966797,176.3000030517578,174.82000732421875,174.9199981689453,6964271,0.0,0.0
AAPL,174.9199981689453,175.6999969482422,174.8300018310547,175.11500549316406,7618030,0.0,0.0
AAPL,175.11000061035156,175.4949951171875,174.86000061035156,175.30999755859375,5142611,0.0,0.0
AAPL,175.3101043701172,175.5399932861328,174.6300048828125,174.66000366210938,4546305,0.0,0.0
AAPL,174.66000366210938,175.0,174.22000122070312,174.27000427246094,5610628,0.0,0.0
AAPL,174.26499938964844,174.5449981689453,173.86000061035156,173.92999267578125,7023086,0.0,0.0
AAPL,174.6699981689453,175.38999938964844,174.0500030517578,175.2758026123047,10497072,0.0,0.0
