Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-24,AVY,AveryDennison,215.9,-4.66,-2.11%,2474,2081,33.16%,+1014.41%,0,2474,999.9900
24-07-24,SGMO,SangamoTherap,0.6147,+0.21,53.18%,7578,20861,26.86%,+769.04%,3902,3676,0.9421
24-07-24,ROP,RoperIndustri,526.07,-48.20,-8.39%,783,8429,38.96%,+660.19%,581,202,0.3477
24-07-24,UWMC,UwmHldgCorp,7.72,-0.09,-1.15%,17888,76030,13.58%,+644.71%,17624,264,0.0150
24-07-24,BHC,BauschHealth,5.93,-1.64,-21.60%,25161,264716,100.00%,+584.28%,6075,19086,3.1417
24-07-24,RLMD,RelmadaTherap,3.99,-0.15,-3.62%,1887,12659,62.39%,+475.30%,1797,90,0.0501
24-07-24,CWBC,CommunityWest,20.28,-1.15,-5.37%,716,591,42.93%,+393.79%,657,59,0.0898
24-07-24,SGMT,SagimetBiosci,3.25,-0.02,-0.61%,817,2487,41.54%,+386.31%,817,0,0.0000
24-07-24,SFL,ShipFinanceI,12.18,-1.77,-12.72%,632,12755,37.38%,+357.97%,402,230,0.5721
24-07-24,CM,CanadianImper,50.56,-0.10,-0.19%,2591,28192,20.97%,+343.66%,3,2588,862.6667
24-07-24,GO,GroceryOutlet,19.38,-0.12,-0.62%,1047,5088,61.48%,+336.25%,1043,4,0.0038
24-07-24,MOH,MolinaHealthc,287.9,+1.00,0.35%,2792,10302,100.00%,+329.54%,65,2727,41.9538
24-07-24,SBGI,SinclairInc,14.9,-0.25,-1.65%,501,7889,53.21%,+294.49%,0,501,999.9900
24-07-24,LW,LambWestonHo,58.84,-19.78,-25.16%,22068,100471,69.88%,+276.91%,5862,16206,2.7646
24-07-24,VSAT,ViasatInc,17.4,+0.09,0.52%,4270,43415,80.04%,+162.29%,201,4069,20.2438
24-07-24,PRIM,PrimorisServi,55.56,-0.63,-1.13%,1507,6830,54.55%,+161.18%,3,1504,501.3333
24-07-24,CSGP,CostarGroupI,78.17,+3.33,4.45%,2349,22231,32.05%,+150.96%,1299,1050,0.8083
24-07-24,ALGM,AllegroMicros,25.35,-2.31,-8.35%,1404,22983,84.60%,+145.45%,103,1301,12.6311
24-07-24,PRG,ProgHldgsInc,41.93,+7.30,21.08%,700,5998,37.60%,+138.10%,599,101,0.1686
24-07-24,SAN,BancoSantande,5.07,+0.13,2.63%,797,15154,30.14%,+132.36%,786,11,0.0140
24-07-24,TAC,TransaltaCorp,7.04,+0.08,1.15%,823,5252,20.01%,+131.83%,823,0,0.0000
24-07-24,LMT,LockheedMarti,504,+2.71,0.54%,11565,76299,37.23%,+122.79%,10057,1508,0.1499
24-07-24,NTES,NeteaseIncAD,95.09,+1.74,1.86%,3756,41188,53.10%,+108.78%,1682,2074,1.2331
24-07-24,APH,AmphenolCorp,64.11,-2.15,-3.24%,10907,126476,43.37%,+78.54%,3777,7130,1.8877
24-07-24,SHAK,ShakeShackIn,79.99,-3.68,-4.40%,2687,31805,100.00%,+75.62%,92,2595,28.2065
24-07-24,COLD,AmericoldReal,29.34,-0.06,-0.20%,532,6130,55.68%,+73.29%,501,31,0.0619
24-07-24,BXMT,BlackstoneMor,17.82,-1.81,-9.25%,5143,92315,22.43%,+71.55%,1701,3442,2.0235
24-07-24,LUMN,LumenTechnolo,1.545,+0.06,3.69%,7839,554733,0.00%,+56.31%,7284,555,0.0762
24-07-24,HCC,WarriorMetCo,68.83,+0.35,0.51%,1133,10490,83.58%,+54.36%,40,1093,27.3250
24-07-24,PHG,KoninklijkePh,26.06,+0.13,0.50%,603,21830,49.80%,+54.22%,284,319,1.1232
24-07-24,CRK,ComstockResou,10.35,-0.26,-2.45%,1752,71911,39.29%,+53.42%,1718,34,0.0198
24-07-24,AEO,AmericanEagle,20.9,-0.65,-3.02%,9852,78751,65.97%,+53.08%,8790,1062,0.1208
24-07-24,FI,FiservInc,160.21,+2.99,1.90%,2787,40433,34.01%,+52.21%,420,2367,5.6357
24-07-24,APPS,DigitalTurbin,2.29,-0.07,-2.93%,1960,68263,34.16%,+49.05%,1175,785,0.6681
24-07-24,TXN,TexasInstrume,200.29,+2.00,1.01%,21320,283262,64.95%,+37.84%,11632,9688,0.8329
24-07-24,STX,SeagateTechno,112.92,+7.62,7.24%,8828,130554,28.18%,+37.57%,6150,2678,0.4354
24-07-24,BSX,BostonScienti,76.13,-2.46,-3.13%,17020,287446,29.14%,+36.44%,8139,8881,1.0912
24-07-24,GD,GeneralDynami,278.51,-15.95,-5.42%,2154,42097,35.87%,+36.16%,1084,1070,0.9871
24-07-24,ODFL,OldDominionF,187.48,-6.37,-3.29%,1383,22306,63.93%,+35.59%,528,855,1.6193
24-07-24,ABT,AbbottLaborat,105.04,+1.12,1.08%,19245,215381,58.13%,+30.59%,18108,1137,0.0628
24-07-24,TSCO,TractorSupply,265,-5.36,-1.98%,2787,22365,84.99%,+28.14%,239,2548,10.6611
24-07-24,GERN,GeronCorp,4.27,-0.35,-7.58%,1836,93631,4.21%,+26.88%,1512,324,0.2143
24-07-24,PACB,PacificBiosci,1.845,-0.01,-0.27%,3410,100783,64.45%,+26.25%,3410,0,0.0000
24-07-24,MANH,ManhattanAsso,248.18,+22.18,9.82%,843,7149,27.90%,+22.35%,370,473,1.2784
24-07-24,CRGY,CrescentEnerg,12.09,-0.03,-0.25%,916,13448,24.74%,+21.97%,916,0,0.0000
24-07-24,GOOGL,AlphabetClA,175.01,-6.78,-3.73%,244739,2383157,41.57%,+21.85%,140335,104404,0.7440
24-07-24,SPOT,SpotifyTechno,338.76,+7.97,2.41%,20571,191926,35.50%,+19.34%,13749,6822,0.4962
24-07-24,WPM,WheatonPrecio,60.94,+0.60,0.99%,3643,80419,50.59%,+17.71%,357,3286,9.2045
24-07-24,WSC,WillscotCorp,42.06,-0.15,-0.34%,1441,27594,100.00%,+13.55%,1399,42,0.0300
24-07-24,GOOG,AlphabetClC,176.76,-6.84,-3.73%,134693,1351735,34.83%,+10.71%,80335,54358,0.6766
24-07-24,VSTO,VistaOutdoor,38.16,-0.23,-0.60%,833,34618,38.39%,+6.93%,275,558,2.0291
24-07-24,FTDR,FrontdoorInc,36.9,-0.70,-1.86%,1019,11169,54.64%,+5.16%,1002,17,0.0170
24-07-24,ZTO,ZtoExpressCa,19.3,-0.07,-0.34%,1112,35583,21.34%,+4.02%,12,1100,91.6667
24-07-24,ULTA,UltaBeautyIn,370.02,-19.27,-4.95%,7681,75412,36.62%,+2.78%,3237,4444,1.3729
24-07-24,SNY,Sanofi-Aventis,50.58,+0.15,0.30%,3199,39692,60.92%,-0.74%,2061,1138,0.5522
24-07-24,VRT,VertivHolding,84.98,-6.02,-6.62%,33152,313914,56.33%,-0.86%,28876,4276,0.1481
24-07-24,CEG,Constellation,180.75,-9.12,-4.80%,4577,57812,90.68%,-0.87%,448,4129,9.2165
24-07-24,SOLV,SolventumCorp,58.09,+1.45,2.56%,612,9986,85.08%,-1.92%,569,43,0.0756
24-07-24,ENPH,EnphaseEnergy,112.17,+8.53,8.23%,54145,303692,40.41%,-6.50%,33615,20530,0.6107
24-07-24,CTXR,CitiusPharmac,0.92,-0.01,-1.09%,563,19813,9.13%,-6.94%,563,0,0.0000
24-07-24,TEL,TeConnectivit,157.75,+6.35,4.19%,649,15192,30.51%,-7.15%,631,18,0.0285
24-07-24,TEAM,AtlassianCorp,170.9,-4.22,-2.41%,4808,53731,89.37%,-7.36%,3110,1698,0.5460
24-07-24,DB,DeutscheBank,15.85,-1.19,-6.98%,1129,76933,29.44%,-7.38%,488,641,1.3135
