Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-12,GTES,GatesIndustri,15.92,+0.67,4.39%,4153,38857,65.98%,+1637.66%,4153,0,0.0000
24-07-12,AZTA,AzentaInc,52.82,+2.29,4.53%,4869,5476,57.44%,+1620.49%,106,4763,44.9340
24-07-12,SLM,SLMCorp,21.71,+0.95,4.58%,10196,28965,54.32%,+1390.64%,90,10106,112.2889
24-07-12,RCM,R1RcmInc,12.49,-0.43,-3.33%,34506,25537,30.32%,+1212.02%,11651,22855,1.9616
24-07-12,ZLAB,ZaiLabLtdAD,17.84,+0.79,4.63%,3712,12419,49.44%,+1184.43%,53,3659,69.0377
24-07-12,NVST,EnvistaHoldin,16.74,+0.89,5.62%,6723,4313,75.01%,+1166.10%,5,6718,1343.6000
24-07-12,SLQT,SelectquoteIn,3.71,+0.45,13.80%,4107,7912,12.50%,+1152.13%,4106,1,0.0002
24-07-12,QS,QuantumscapeC,7.06,+1.65,30.50%,199534,323827,45.03%,+855.67%,148640,50894,0.3424
24-07-12,EQX,EquinoxGoldC,5.98,+0.07,1.18%,21543,149126,48.27%,+837.06%,21438,105,0.0049
24-07-12,JOBY,JobyAviation,6.21,+1.02,19.65%,47298,168829,53.38%,+781.93%,39345,7953,0.2021
24-07-12,PRAX,PraxisPrecisi,49.99,+2.07,4.32%,6500,18467,6.46%,+677.51%,5152,1348,0.2616
24-07-12,SOUN,SoundhoundAi,5.37,+0.30,5.92%,298084,522927,30.65%,+673.86%,261325,36759,0.1407
24-07-12,VNO,VornadoRealty,28.74,+2.04,7.64%,13579,62055,22.48%,+656.49%,11899,1680,0.1412
24-07-12,SNBR,SleepNumberC,9.44,+0.51,5.71%,4347,7072,89.73%,+648.19%,20,4327,216.3500
24-07-12,CCK,CrownCork&S,74.6,+2.12,2.92%,15085,22730,63.11%,+632.64%,70,15015,214.5000
24-07-12,RVLV,RevolveGroup,16.22,+1.16,7.70%,4746,12089,71.84%,+611.54%,141,4605,32.6596
24-07-12,WDFC,WD40Company,228.63,+8.88,4.04%,6007,9903,16.30%,+609.21%,3087,2920,0.9459
24-07-12,KZIA,KaziaTherapeu,1.24,+0.57,85.57%,5730,1690,48.62%,+547.46%,5599,131,0.0234
24-07-12,ERIC,EricssonADR,6.39,-0.05,-0.78%,7593,77962,55.02%,+512.83%,3747,3846,1.0264
24-07-12,QBTS,D-WaveQuantum,1.18,-0.04,-3.28%,3795,25410,6.95%,+510.13%,3659,136,0.0372
24-07-12,GRFS,GrifolsS.A.A,8.85,-0.06,-0.67%,9302,59494,52.53%,+473.84%,7744,1558,0.2012
24-07-12,PLD,PrologisInc,120.41,+3.87,3.32%,14913,66044,48.07%,+469.63%,9087,5826,0.6411
24-07-12,BK,BankofNewYo,61.47,+0.77,1.27%,7872,66904,43.25%,+444.40%,5155,2717,0.5271
24-07-12,VICI,ViciPropertie,29.4,+1.51,5.41%,8428,32320,27.90%,+444.09%,7956,472,0.0593
24-07-12,TME,TencentMusic,14.98,-0.08,-0.53%,13852,131179,58.04%,+440.04%,13712,140,0.0102
24-07-12,LNTH,LantheusHoldi,123.62,+17.44,16.42%,11550,36842,59.88%,+434.23%,7976,3574,0.4481
24-07-12,NDAQ,NasdaqInc,62.2,+0.57,0.92%,13242,30170,26.20%,+434.17%,12927,315,0.0244
24-07-12,CIM,ChimeraInvest,14.54,+0.93,6.83%,4239,28201,25.22%,+433.21%,3715,524,0.1410
24-07-12,PII,PolarisInc,79.28,+5.03,6.77%,8111,22416,100.00%,+430.13%,3970,4141,1.0431
24-07-12,FAST,FastenalCompa,64.17,+0.66,1.04%,13300,78369,100.00%,+425.28%,8000,5300,0.6625
24-07-12,TERN,TernsPharmace,8.34,+1.04,14.25%,4751,14703,34.91%,+410.86%,4609,142,0.0308
24-07-12,CRC,CaliforniaRes,52.91,+1.19,2.30%,3729,26037,34.08%,+389.37%,3715,14,0.0038
24-07-12,RSI,RushStreetIn,8.83,+0.18,2.08%,5248,26611,31.01%,+384.13%,5222,26,0.0050
24-07-12,AMLX,AmylyxPharmac,2.28,+0.21,10.14%,3932,44770,12.30%,+378.93%,3690,242,0.0656
24-07-12,EA,ElectronicArt,145.3,+1.21,0.84%,21063,73998,92.69%,+369.11%,19751,1312,0.0664
24-07-12,TRU,Transunion,79.03,+2.70,3.54%,5437,16049,60.43%,+360.76%,5393,44,0.0082
24-07-12,AMSC,AmerSupercond,29.07,+1.64,5.98%,12850,37527,23.41%,+333.83%,12352,498,0.0403
24-07-12,DAL,DeltaAirLine,44.99,-1.87,-3.99%,250159,877554,24.09%,+331.59%,166341,83818,0.5039
24-07-12,BBAI,Bigbear.AiHol,1.6,+0.05,3.23%,11005,115234,17.93%,+329.88%,10264,741,0.0722
24-07-12,GLNG,GolarLngLtd,34.3,+0.00,0.00%,19346,112779,80.46%,+329.53%,19085,261,0.0137
24-07-12,JEF,JefferiesFina,53.44,+0.88,1.67%,8084,18215,8.18%,+326.82%,6747,1337,0.1982
24-07-12,FOXA,FoxCorpClA,35.64,+0.32,0.91%,4300,47700,24.60%,+324.48%,3157,1143,0.3621
24-07-12,NU,NuHoldingsLt,13.25,+0.04,0.30%,232109,1169996,24.17%,+316.09%,226624,5485,0.0242
24-07-12,PWR,QuantaService,264.14,+6.27,2.43%,5492,21484,56.66%,+301.17%,5334,158,0.0296
24-07-12,COST,CostcoWholesa,846.59,-37.72,-4.27%,155158,271728,33.80%,+277.95%,97249,57909,0.5955
24-07-12,BJ,BWholesale,90.65,+1.02,1.14%,3824,31521,18.14%,+268.76%,3349,475,0.1418
24-07-12,WB,WeiboCorpADR,8.59,+0.28,3.37%,6945,62072,45.34%,+256.89%,6576,369,0.0561
24-07-12,ABR,ArborRealtyT,15.53,+0.44,2.92%,46233,465015,21.52%,+255.94%,16501,29732,1.8018
24-07-12,IR,IngersollRand,95.5,+1.20,1.27%,4342,18323,51.09%,+252.15%,4070,272,0.0668
24-07-12,URBN,UrbanOutfitte,48.06,+3.69,8.32%,8072,30777,25.16%,+244.22%,1747,6325,3.6205
24-07-12,PNC,PNCBank,168.3,+4.00,2.43%,13827,69604,36.60%,+243.19%,11847,1980,0.1671
24-07-12,PPL,PPLCorp,28.22,+0.54,1.95%,6263,68074,21.35%,+243.18%,6114,149,0.0244
24-07-12,QURE,UniqureN.V.,8.91,-1.21,-11.96%,17871,54280,60.23%,+238.27%,12727,5144,0.4042
24-07-12,AR,AnteroResourc,32.48,+0.46,1.44%,10344,142473,56.96%,+237.82%,8780,1564,0.1781
24-07-12,OPK,OpkoHealthIn,1.37,+0.05,3.79%,3632,447181,9.61%,+236.30%,2824,808,0.2861
24-07-12,CFG,CitizensFinan,38.2,+1.52,4.14%,16506,88179,21.13%,+233.39%,8255,8251,0.9995
24-07-12,AGNC,AgncInvestmen,10.15,+0.25,2.53%,94967,656222,18.30%,+225.96%,59404,35563,0.5987
24-07-12,FLR,FluorCorp,46.55,+1.78,3.98%,6915,71517,46.49%,+218.37%,6658,257,0.0386
24-07-12,VLY,ValleyNationa,7.48,+0.49,7.01%,17581,223295,24.28%,+215.47%,16228,1353,0.0834
24-07-12,VFS,VinfastAutoL,4.9,+0.73,17.51%,15021,98337,14.88%,+209.58%,9917,5104,0.5147
24-07-12,BIDU,BaiduIncADR,100.67,+2.73,2.79%,219703,486922,45.43%,+208.86%,185000,34703,0.1876
24-07-12,CAG,ConagraBrands,28.38,-0.43,-1.49%,13305,85467,17.92%,+206.78%,6965,6340,0.9103
24-07-12,AGI,AlamosGoldIn,17.52,+0.41,2.40%,8268,112464,25.56%,+203.86%,7601,667,0.0878
