Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-25,BALY,BallCorp,16.8,+3.27,24.22%,1589,7483,9.28%,+1269.83%,921,668,0.7253
24-07-25,EHAB,EnhabitInc,10.36,+0.43,4.33%,547,346,53.13%,+843.10%,547,0,0.0000
24-07-25,CLVT,ClarivateAnal,6.99,+0.28,4.17%,606,2112,9.36%,+804.48%,606,0,0.0000
24-07-25,FSS,FederalSignal,93.32,-1.21,-1.28%,409,800,55.45%,+593.22%,9,400,44.4444
24-07-25,AXL,AmericanAxle,6.94,-0.15,-2.12%,5119,15245,35.39%,+463.15%,4101,1018,0.2482
24-07-25,ROL,RollinsInc,47.99,-1.97,-3.93%,3567,16343,39.34%,+422.25%,2575,992,0.3852
24-07-25,LAZ,LazardInc,48.17,+4.85,11.21%,1975,9715,55.71%,+370.24%,1946,29,0.0149
24-07-25,WST,WestPharmaceu,274.05,-49.72,-15.36%,2212,9029,63.55%,+369.64%,77,2135,27.7273
24-07-25,EW,EdwardsLifesc,66.76,-20.19,-23.22%,10460,74578,70.18%,+342.66%,2429,8031,3.3063
24-07-25,TER,TeradyneInc,122.43,-21.11,-14.71%,5348,37448,65.02%,+336.22%,439,4909,11.1822
24-07-25,RNR,Renaissancere,218.99,-5.71,-2.54%,418,1658,47.32%,+283.49%,50,368,7.3600
24-07-25,COOP,Mr.CooperGrou,92.35,+5.71,6.59%,624,17532,33.47%,+254.55%,615,9,0.0146
24-07-25,CRS,CarpenterTech,135.55,+14.05,11.57%,3527,22742,98.84%,+251.29%,1984,1543,0.7777
24-07-25,LKQ,LKQCorp,37.76,-6.72,-15.12%,1338,9305,100.00%,+221.63%,127,1211,9.5354
24-07-25,EVRI,EveriHoldings,8.69,-0.04,-0.52%,3212,11535,28.71%,+212.76%,3211,1,0.0003
24-07-25,MLCO,MelcoResorts,5.68,-0.13,-2.15%,5689,48673,57.22%,+203.09%,138,5551,40.2246
24-07-25,PAYC,PaycomSoftwar,161.46,+2.88,1.82%,4122,31290,76.54%,+179.65%,45,4077,90.6000
24-07-25,SO,SouthernCompa,83.13,+0.46,0.56%,8645,91334,71.14%,+151.97%,8587,58,0.0068
24-07-25,FI,FiservInc,162.24,+1.08,0.67%,5546,43424,39.35%,+137.41%,5494,52,0.0095
24-07-25,EME,EmcorGroup,369.96,+13.23,3.71%,459,5444,82.11%,+132.99%,262,197,0.7519
24-07-25,PTEN,Patterson-Uti,9.98,+0.05,0.50%,19467,247119,29.68%,+124.87%,29,19438,670.2759
24-07-25,MRTN,MartenTranspo,18.3,+0.97,5.60%,776,5459,22.85%,+124.28%,0,776,999.9900
24-07-25,IMAX,ImaxCorp,20.01,+2.18,12.23%,1851,27520,45.41%,+115.99%,1524,327,0.2146
24-07-25,MAS,MascoCorp,75.43,+4.85,6.87%,1593,10522,53.99%,+107.69%,1578,15,0.0095
24-07-25,AUGX,AugmedixInc,2.27,+0.01,0.44%,1061,11519,0.00%,+103.26%,1055,6,0.0057
24-07-25,MOH,MolinaHealthc,327.54,+38.82,13.45%,1686,14306,33.38%,+100.95%,1382,304,0.2200
24-07-25,RTX,RtxCorp,113.68,+8.85,8.44%,29019,353130,24.68%,+97.99%,24878,4141,0.1665
24-07-25,STM,Stmicroelectro,35.26,-4.28,-10.82%,3693,46505,60.11%,+97.80%,566,3127,5.5247
24-07-25,PI,ImpinjInc,157.39,+4.84,3.17%,609,4169,31.22%,+87.38%,185,424,2.2919
24-07-25,BBD,BancoBradesco,2.24,+0.02,0.90%,780,131416,38.98%,+85.71%,780,0,0.0000
24-07-25,UL,UnileverPlcA,60.08,+3.54,6.26%,2154,58467,35.26%,+67.11%,1160,994,0.8569
24-07-25,NOW,ServicenowInc,816.03,+85.16,11.65%,17584,100462,45.55%,+62.09%,9784,7800,0.7972
24-07-25,VKTX,VikingThera,62.5,+12.09,23.98%,24554,159665,43.08%,+57.45%,18584,5970,0.3212
24-07-25,IBM,International,192.18,+8.16,4.44%,39674,350635,44.89%,+56.38%,27613,12061,0.4368
24-07-25,NOC,NorthropGrumm,464.93,+22.81,5.16%,2682,39200,58.50%,+55.75%,2062,620,0.3007
24-07-25,F,FordMotorCom,11.41,-2.26,-16.53%,251814,2719064,82.53%,+52.22%,82414,169400,2.0555
24-07-25,STLA,StellantisN.V,17.81,-1.79,-9.13%,7214,224871,47.26%,+50.92%,2482,4732,1.9065
24-07-25,VRN,VerenInc,7.44,-0.16,-2.11%,385,37908,19.35%,+48.08%,378,7,0.0185
24-07-25,SKX,SkechersU.S.A,63.58,-0.44,-0.69%,1062,30392,84.45%,+39.55%,706,356,0.5042
24-07-25,CBRE,CBREGroupInc,107.3,+9.00,9.16%,1028,10277,45.63%,+38.17%,231,797,3.4502
24-07-25,ARGX,ArgenxSeADR,486.72,+22.36,4.82%,524,9574,36.60%,+37.17%,15,509,33.9333
24-07-25,DRS,LeonardoDrsI,28.21,+0.42,1.50%,402,5891,50.62%,+25.62%,400,2,0.0050
24-07-25,SBLK,StarBulkCarr,23.12,-0.07,-0.30%,1538,38627,34.43%,+23.04%,23,1515,65.8696
24-07-25,ALGN,AlignTechnolo,236.26,-8.54,-3.49%,4227,43075,20.76%,+22.66%,1460,2767,1.8952
24-07-25,DHT,DhtHoldings,11.46,-0.14,-1.21%,2151,29095,18.99%,+10.03%,1001,1150,1.1489
24-07-25,MXL,MaxlinearInc,16.44,-5.85,-26.24%,541,13128,70.22%,+9.29%,296,245,0.8277
24-07-25,BIRD,AllbirdsIncC,0.64,+-0.00,-0.11%,628,25448,9.47%,+9.22%,628,0,0.0000
24-07-25,LFMD,LifemdInc,6.81,+0.04,0.59%,401,14667,31.58%,+8.38%,401,0,0.0000
24-07-25,CLMT,CalumetInc,12.34,+0.13,1.06%,3171,79291,81.09%,+4.93%,571,2600,4.5534
24-07-25,RIG,TransoceanInc,5.39,+0.13,2.47%,18508,915490,27.69%,+4.48%,9210,9298,1.0096
24-07-25,LC,LendingclubCo,10.67,+0.23,2.20%,842,25119,68.85%,+4.34%,842,0,0.0000
24-07-25,TXRH,TexasRoadhous,166.13,+0.67,0.40%,752,13153,96.35%,+0.67%,46,706,15.3478
24-07-25,MTSI,MacomTechnolo,100.13,-1.46,-1.44%,424,9915,98.36%,-0.93%,383,41,0.1070
24-07-25,HON,HoneywellInte,202.65,-10.99,-5.15%,4361,99678,46.43%,-4.64%,2581,1780,0.6897
24-07-25,LULU,LululemonAthl,254.23,-17.83,-6.55%,22009,205349,53.93%,-6.73%,8288,13721,1.6555
24-07-25,SFM,SproutsFarmer,82.88,-0.27,-0.32%,448,16269,99.53%,-8.01%,55,393,7.1455
24-07-25,FWRD,FowardAirCor,27.47,+2.17,8.56%,562,22893,77.94%,-8.77%,549,13,0.0237
24-07-25,BTI,BritishAmeric,34.79,+1.41,4.23%,5673,192942,25.72%,-10.52%,4216,1457,0.3456
24-07-25,FRO,FrontlinePlc,24.04,-0.48,-1.96%,649,28392,37.81%,-16.79%,213,436,2.0469
24-07-25,PHM,Pultegroup,124.68,+2.12,1.73%,2476,61104,44.01%,-16.94%,81,2395,29.5679
24-07-25,SGMO,SangamoTherap,0.55,-0.01,-1.79%,1253,34629,22.66%,-17.78%,576,677,1.1753
24-07-25,ALGM,AllegroMicros,24.4,-0.30,-1.21%,1541,49138,91.91%,-18.08%,51,1490,29.2157
24-07-25,LMT,LockheedMarti,524.07,+8.87,1.72%,5562,89008,43.94%,-19.50%,4127,1435,0.3477
24-07-25,MO,AltriaGroup,50.21,+0.79,1.59%,16101,398888,68.93%,-21.21%,14455,1646,0.1139
24-07-25,LUV,SouthwestAirl,27.27,+0.66,2.48%,18364,410577,64.05%,-21.21%,7383,10981,1.4873
24-07-25,AAL,AmericanAirli,10.35,+0.18,1.77%,110586,3783762,59.77%,-21.56%,61461,49125,0.7993
24-07-25,TRP,TCEnergyCorp,41.89,+0.49,1.18%,473,20153,23.44%,-21.95%,445,28,0.0629
24-07-25,FSM,FortunaSilver,4.67,-0.23,-4.61%,1581,113461,99.36%,-23.22%,1452,129,0.0888
24-07-25,EXPE,ExpediaGroup,123.47,-5.02,-3.91%,3849,107517,91.08%,-25.91%,499,3350,6.7134
24-07-25,ASTS,AstSpacemobil,14.61,+1.25,9.36%,23785,364906,30.27%,-26.23%,10871,12914,1.1879
24-07-25,KO,Coca-ColaComp,66.64,+0.83,1.27%,25264,530077,21.82%,-27.34%,20364,4900,0.2406
24-07-25,WBD,DiscoveryInc,7.89,-0.58,-6.79%,31939,991009,98.73%,-28.87%,5632,26307,4.6710
24-07-25,RCL,RoyalCaribbea,155.61,-8.90,-5.41%,7068,224420,35.17%,-28.94%,4974,2094,0.4210
24-07-25,LW,LambWestonHo,53.38,-3.04,-5.39%,4367,129890,62.17%,-34.65%,2540,1827,0.7193
24-07-25,TSCO,TractorSupply,266.3,+3.79,1.44%,1372,29072,57.56%,-35.62%,838,534,0.6372
24-07-25,CERE,CerevelTherap,44.4,+1.03,2.37%,1775,111997,23.33%,-35.99%,1221,554,0.4537
24-07-25,DUOL,DuolingoIncC,164.7,+0.90,0.55%,717,21883,92.00%,-37.27%,339,378,1.1150
24-07-25,HOG,Harley-Davidso,37.07,+3.20,9.45%,2145,54432,52.99%,-37.66%,346,1799,5.1994
24-07-25,GILD,GileadScience,76.67,+3.17,4.31%,9770,286196,92.55%,-37.93%,7454,2316,0.3107
24-07-25,BURL,BurlingtonSto,249,+2.61,1.06%,1245,41417,24.40%,-38.82%,92,1153,12.5326
24-07-25,QS,QuantumscapeC,6.67,-0.79,-10.59%,38880,515521,33.81%,-39.35%,21019,17861,0.8498
24-07-25,FLNC,FluenceEnergy,15.55,-0.03,-0.19%,838,29044,64.29%,-39.67%,813,25,0.0308
24-07-25,VST,VistraEnergy,70,-2.58,-3.55%,14313,274877,92.38%,-39.77%,10981,3332,0.3034
24-07-25,EDU,NewOrientalE,72.52,-1.87,-2.51%,474,10799,54.19%,-40.08%,43,431,10.0233
24-07-25,BMRN,BiomarinPharm,85.78,+1.15,1.36%,547,42882,54.32%,-41.68%,545,2,0.0037
24-07-25,ABBV,AbbvieInc,183.32,+7.11,4.03%,7765,319830,46.30%,-44.26%,5523,2242,0.4059
24-07-25,GOTU,GaotuTechedu,4.75,-0.09,-1.86%,489,39343,22.19%,-44.62%,487,2,0.0041
24-07-25,PFE,PfizerInc,30.56,+0.58,1.93%,70896,2780818,65.20%,-44.89%,56334,14562,0.2585
24-07-25,BSX,BostonScienti,78.03,+0.27,0.35%,7551,281005,20.43%,-45.79%,7379,172,0.0233
24-07-25,HWM,HowmetAerospa,81.83,+2.24,2.81%,438,15937,99.93%,-45.79%,387,51,0.1318
24-07-25,ABT,AbbottLaborat,107.71,+0.45,0.42%,8581,235973,72.62%,-47.25%,7840,741,0.0945
24-07-25,MCHP,MicrochipTech,84.41,-2.16,-2.50%,2741,179198,80.49%,-48.55%,558,2183,3.9122
