Report Date,Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
24-07-16,TBLA,Taboola.comLt,3.71,+0.42,12.92%,1786,30313,43.74%,+1242.86%,1767,19,0.0108
24-07-16,PAYS,PaysignInc,5.2,+0.87,20.09%,1093,5275,14.47%,+1038.54%,929,164,0.1765
24-07-16,IAS,IntegralAdSc,10.64,+0.24,2.26%,1753,8467,45.23%,+504.48%,1753,0,0.0000
24-07-16,HOLX,HologicInc,78.07,+0.73,0.94%,1412,6884,46.50%,+485.89%,1410,2,0.0014
24-07-16,VAC,MarriotVacati,89.83,+3.07,3.54%,953,13387,47.64%,+454.07%,952,1,0.0011
24-07-16,STNE,StonecoLtdCl,13.53,+0.12,0.89%,31071,219250,40.49%,+421.15%,132,30939,234.3864
24-07-16,JANX,JanuxTherapeu,48.18,+4.71,10.84%,896,4531,33.03%,+369.11%,694,202,0.2911
24-07-16,CCCC,C4Therapeutic,6.99,+0.50,7.74%,2102,16310,22.85%,+347.23%,2099,3,0.0014
24-07-16,ALLO,AllogeneThera,3.51,+0.53,17.79%,865,4897,14.94%,+343.59%,859,6,0.0070
24-07-16,BAX,BaxterInterna,34.5,+0.53,1.56%,15607,89980,58.83%,+325.96%,218,15389,70.5917
24-07-16,AGI,AlamosGoldIn,17.77,+0.21,1.20%,11786,117376,47.07%,+283.28%,11737,49,0.0042
24-07-16,SKYT,SkywaterTechn,7.91,+0.01,0.13%,983,11261,40.65%,+253.60%,980,3,0.0031
24-07-16,SNV,SynovusFinanc,45.39,+1.50,3.42%,2121,19544,20.09%,+235.60%,2107,14,0.0066
24-07-16,OPEN,OpendoorTechn,2.62,+0.08,2.95%,51166,384989,70.13%,+230.10%,47629,3537,0.0743
24-07-16,TDS,Telephoneand,21.95,+0.64,3.00%,3126,52155,4.96%,+206.17%,256,2870,11.2109
24-07-16,BSX,BostonScienti,77.97,-0.04,-0.06%,16417,211238,48.46%,+184.92%,16348,69,0.0042
24-07-16,HYLN,HyliionHldgC,2.43,+0.07,2.74%,1556,19663,20.41%,+171.08%,1493,63,0.0422
24-07-16,ASC,ArdmoreShippi,20.25,+0.19,0.95%,1431,14465,28.33%,+165.99%,13,1418,109.0769
24-07-16,HMY,HarmonyGoldM,10.41,+0.96,10.16%,3063,40082,27.72%,+162.69%,2916,147,0.0504
24-07-16,UNH,UnitedhealthG,544.16,+28.79,5.59%,63516,246294,53.23%,+147.20%,48651,14865,0.3055
24-07-16,MULN,MullenAutomot,1.84,-0.15,-7.54%,1630,375742,0.00%,+137.96%,1584,46,0.0290
24-07-16,INMD,InmodeLtd,18.51,+0.68,3.81%,6760,77991,60.59%,+137.28%,5865,895,0.1526
24-07-16,PRGO,PerrigoCompan,27.07,+0.17,0.63%,2071,35289,71.97%,+135.88%,2068,3,0.0015
24-07-16,RXO,RxoInc,30.06,+0.67,2.28%,1293,10274,54.28%,+128.85%,955,338,0.3539
24-07-16,AUR,AuroraInnovat,4.61,+0.00,0.11%,4088,54322,57.34%,+128.12%,3027,1061,0.3505
24-07-16,GNW,GenworthFinan,6.38,+0.09,1.35%,1233,34372,33.27%,+126.24%,1233,0,0.0000
24-07-16,IGT,International,21.15,+0.00,0.00%,2733,24042,54.05%,+125.31%,2729,4,0.0015
24-07-16,SAGE,SageTherapeut,12.04,+0.24,2.03%,3963,31591,58.39%,+118.35%,3937,26,0.0066
24-07-16,SCHW,TheCharlesSc,70.01,-5.06,-6.74%,49683,554039,5.15%,+116.43%,19894,29789,1.4974
24-07-16,HBAN,HuntingtonBan,13.99,+0.26,1.90%,2606,106397,26.40%,+116.27%,787,1819,2.3113
24-07-16,PGR,ProgressiveCo,212.29,-4.81,-2.22%,5266,58917,32.34%,+115.55%,3755,1511,0.4024
24-07-16,GH,GuardantHealt,32.19,+0.65,2.06%,2103,37105,42.15%,+106.58%,2086,17,0.0081
