Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
PCVX,VaxcyteInc,76.06,-0.88,-1.14%,6458,5962,91.19%,+1433.97%,6452,6,0.0009
RCM,R1RcmInc,10.9,-1.66,-13.22%,7679,12489,44.46%,+1354.36%,4699,2980,0.6342
FUN,CedarFairLP,54.89,+2.78,5.33%,6765,3321,49.34%,+1336.31%,6607,158,0.0239
UP,WheelsUpExpe,3.02,+0.80,36.04%,12116,12088,26.34%,+1327.09%,5583,6533,1.1702
HRTX,HeronTherapeu,2.74,-0.73,-21.04%,13177,8772,7.98%,+1276.91%,1809,11368,6.2841
ABEV,AmbevS.A.ADR,2.06,+0.02,0.98%,42087,46032,27.64%,+1129.54%,179,41908,234.1229
OPTT,OceanPowerTe,0.514,+0.24,86.10%,6821,5503,29.31%,+1094.57%,6643,178,0.0268
PCRX,PaciraPharmI,22.74,-5.72,-20.10%,8309,20179,100.00%,+1025.88%,1620,6689,4.1290
RVLV,RevolveGroup,15.56,+0.12,0.78%,4540,10271,44.85%,+996.62%,14,4526,323.2857
ANVS,AnnovisBioIn,9.28,+4.01,76.09%,47640,82930,20.45%,+780.92%,20861,26779,1.2837
MCFT,MastercraftBo,17.76,-0.20,-1.11%,3584,9966,30.15%,+723.91%,53,3531,66.6226
ARQQ,ArqitQuantum,0.302,-0.01,-4.46%,3756,15079,0.00%,+684.13%,3756,0,0.0000
STZ,Constellation,258.94,+2.65,1.03%,25561,43338,89.28%,+661.65%,9749,15812,1.6219
ACI,AlbertsonsCom,19.86,-0.03,-0.15%,24482,134845,12.35%,+621.33%,24410,72,0.0029
AZUL,AzulS.A.ADR,3.84,-0.03,-0.78%,9214,47978,100.00%,+607.68%,1144,8070,7.0542
TRU,Transunion,73.91,+1.19,1.64%,5332,10051,48.42%,+586.23%,5309,23,0.0043
REAL,TheRealrealI,3.24,+0.14,4.52%,6506,28001,66.49%,+581.97%,6270,236,0.0376
CENX,CenturyAlumin,18.93,+2.26,13.56%,10742,39682,45.45%,+567.62%,9675,1067,0.1103
EBS,EmergentBioso,7.49,+0.43,6.09%,6755,19902,18.66%,+499.91%,6416,339,0.0528
STAA,StaarSurgical,44.52,-2.90,-6.12%,4103,9353,44.39%,+478.70%,3876,227,0.0586
MSM,MscIndustrial,80.02,+1.79,2.29%,4746,9667,29.50%,+471.12%,1886,2860,1.5164
CRH,CRHPlcADR,72.05,-0.91,-1.25%,22604,36270,64.28%,+439.73%,22503,101,0.0045
PLD,PrologisInc,113.21,+1.26,1.13%,10578,53513,46.50%,+431.83%,7014,3564,0.5081
FOUR,Shift4Payment,73.55,-0.29,-0.39%,11979,55695,17.85%,+430.75%,206,11773,57.1505
PAGP,PlainsGpHold,19.44,+0.41,2.15%,3154,76710,84.06%,+409.53%,1314,1840,1.4003
ARDX,ArdelyxInc,5.28,-2.29,-30.25%,19415,122141,56.26%,+400.00%,13646,5769,0.4228
CPNG,CoupangIncCl,20.9,-0.18,-0.85%,57263,314445,33.45%,+385.44%,7000,50263,7.1804
OWL,BlueOwlCapit,17.54,-0.27,-1.52%,7069,37468,24.01%,+335.02%,6481,588,0.0907
EXPI,ExpRealtyInt,10.63,-0.06,-0.56%,2347,26129,55.74%,+329.85%,299,2048,6.8495
CONN,ConInc,0.7401,-0.30,-28.84%,9084,25808,100.00%,+321.92%,282,8802,31.2128
AER,AercapHolding,94.16,+1.82,1.97%,5252,31234,34.38%,+312.24%,269,4983,18.5242
VTNR,VertexEnergy,0.61,-0.17,-21.79%,2788,113316,76.01%,+305.82%,1587,1201,0.7568
PBI,PitneyBowesI,6.25,+0.30,5.04%,15940,103073,85.09%,+293.77%,13224,2716,0.2054
AAP,AdvanceAutoP,60.6,+0.89,1.49%,18170,105944,12.34%,+279.81%,1839,16331,8.8804
LSXMK,LibertySirius,22.53,+0.26,1.17%,5231,69379,71.61%,+272.05%,5164,67,0.0130
TPR,TapestryInc,40.54,-1.45,-3.45%,4867,86341,25.30%,+270.11%,2943,1924,0.6538
ON,OnSemiconduct,72.92,+3.74,5.41%,49087,213024,46.47%,+270.08%,41209,7878,0.1912
LUNR,IntuitiveMach,3.86,+0.37,10.60%,7695,48960,2.82%,+257.57%,6244,1451,0.2324
BTDR,BitdeerTechno,11.61,+1.02,9.63%,7385,21752,28.07%,+257.45%,621,6764,10.8921
PAA,PlainsAllAme,18.55,+0.52,2.88%,5172,210842,67.68%,+251.12%,5076,96,0.0189
EXPD,ExpeditorsInt,121.22,+0.35,0.29%,2638,12444,38.33%,+247.11%,116,2522,21.7414
HOG,Harley-Davidso,31.97,-0.38,-1.17%,8963,40234,74.03%,+243.15%,593,8370,14.1147
TRGP,TargaResource,131,-0.27,-0.21%,3244,29869,22.78%,+236.17%,3114,130,0.0417
RSI,RushStreetIn,8.72,-0.74,-7.82%,2490,23808,44.88%,+229.80%,2329,161,0.0691
RDDT,RedditIncCl,73.51,+6.92,10.39%,65641,121341,23.43%,+209.77%,48153,17488,0.3632
ZTO,ZtoExpressCa,20.57,-0.14,-0.68%,2364,38971,32.18%,+207.81%,835,1529,1.8311
SIRI,SiriusXMHold,3.1,+0.22,7.64%,232959,1255229,38.34%,+201.15%,140268,92691,0.6608
LSXMA,LibertySirius,22.48,+0.23,1.03%,2423,19310,54.72%,+195.13%,2165,258,0.1192
