,Date,Ticker,Open,High,Low,Close,Volume,RSI,rsi_flag1,rsi_flag2,rsi_result
64,2024-04-10,ABBV,168.58999633789062,169.9600067138672,167.36000061035156,169.02999877929688,3231700.0,35.576000731750064,1,2,3
65,2024-04-11,ABBV,169.1999969482422,169.3699951171875,167.22999572753906,167.52000427246094,3307000.0,33.305443629128696,1,2,3
66,2024-04-12,ABBV,164.4499969482422,164.4499969482422,160.0,162.27999877929688,7029400.0,26.891425466405344,1,2,3
67,2024-04-15,ABBV,164.52000427246094,164.6999969482422,161.5,161.6699981689453,5433700.0,26.257480974616108,1,2,3
68,2024-04-16,ABBV,162.17999267578125,163.74000549316406,162.0800018310547,162.5399932861328,4881300.0,28.83427391728076,1,2,3
69,2024-04-17,ABBV,164.14999389648438,164.74000549316406,163.22999572753906,164.25,4792200.0,33.735536006799066,1,2,3
70,2024-04-18,ABBV,164.9600067138672,167.44000244140625,164.42999267578125,164.66000366210938,4480100.0,34.89334528807111,1,2,3
71,2024-04-19,ABBV,165.02000427246094,166.60000610351562,163.25,166.41000366210938,5532400.0,39.73358315202656,1,2,3
136,2024-04-10,ACAD,17.719999313354492,17.770000457763672,17.549999237060547,17.729999542236328,1147300.0,30.94082552809408,1,2,3
137,2024-04-11,ACAD,17.899999618530273,17.899999618530273,17.34000015258789,17.40999984741211,1521800.0,29.0727805020113,1,2,3
138,2024-04-12,ACAD,17.399999618530273,17.610000610351562,16.850000381469727,17.139999389648438,1296100.0,27.56079771722132,1,2,3
139,2024-04-15,ACAD,17.1299991607666,17.280000686645508,16.770000457763672,16.889999389648438,1112100.0,26.20199969578786,1,2,3
140,2024-04-16,ACAD,16.75,17.200000762939453,16.600000381469727,17.079999923706055,978300.0,29.06437779955413,1,2,3
141,2024-04-17,ACAD,17.25,17.25,16.969999313354492,17.190000534057617,1027800.0,30.73929849824471,1,2,3
142,2024-04-18,ACAD,17.260000228881836,17.350000381469727,17.010000228881836,17.06999969482422,988300.0,29.909611078997646,1,2,3
143,2024-04-19,ACAD,16.979999542236328,17.299999237060547,16.6200008392334,16.81999969482422,3522000.0,28.201807552639874,1,2,3
224,2024-04-10,ACN,328.3500061035156,329.5199890136719,323.6400146484375,324.3999938964844,2156700.0,31.170027360192748,1,2,3
225,2024-04-11,ACN,326.04998779296875,327.0,323.260009765625,325.19000244140625,2204200.0,31.996115986720014,1,2,3
226,2024-04-12,ACN,320.9700012207031,322.5,313.19000244140625,315.3999938964844,4207400.0,27.57878325675829,1,2,3
227,2024-04-15,ACN,316.04998779296875,321.6000061035156,312.17999267578125,313.2699890136719,2997900.0,26.714623341131578,1,2,3
228,2024-04-16,ACN,315.1400146484375,315.6400146484375,311.8399963378906,313.94000244140625,2900300.0,27.48435319632111,1,2,3
229,2024-04-17,ACN,316.8699951171875,317.0199890136719,312.6099853515625,314.5400085449219,2760000.0,28.211517623129545,1,2,3
230,2024-04-18,ACN,312.6300048828125,317.7699890136719,312.010009765625,316.0,3025100.0,30.049622517447716,1,2,3
231,2024-04-19,ACN,317.8599853515625,318.54998779296875,314.6000061035156,316.8800048828125,3381500.0,31.1932019052516,1,2,3
488,2024-04-10,AGNC,9.600000381469728,9.649999618530272,9.300000190734863,9.31999969482422,22399000.0,36.282191543299945,1,2,3
489,2024-04-11,AGNC,9.399999618530272,9.479999542236328,9.239999771118164,9.390000343322754,14234100.0,39.590224671302096,1,2,3
490,2024-04-12,AGNC,9.350000381469728,9.40999984741211,9.3100004196167,9.3100004196167,9834200.0,37.212456276077695,1,2,3
491,2024-04-15,AGNC,9.31999969482422,9.369999885559082,9.039999961853027,9.130000114440918,13514700.0,32.484949768052324,1,2,3
492,2024-04-16,AGNC,9.109999656677246,9.140000343322754,8.920000076293945,8.960000038146973,13910700.0,28.76779281934054,1,2,3
493,2024-04-17,AGNC,9.020000457763672,9.109999656677246,9.0,9.039999961853027,7594600.0,32.67214187660139,1,2,3
494,2024-04-18,AGNC,9.039999961853027,9.119999885559082,9.010000228881836,9.0600004196167,12774000.0,33.651270826086915,1,2,3
495,2024-04-19,AGNC,9.06999969482422,9.199999809265137,9.0600004196167,9.149999618530272,10126000.0,38.01929464969405,1,2,3
728,2024-04-10,ALKS,26.31999969482422,26.420000076293945,25.75,26.13999938964844,2030400.0,39.57961359842767,1,2,3
729,2024-04-11,ALKS,26.309999465942383,26.309999465942383,24.90999984741211,24.989999771118164,2076500.0,32.97036756269382,1,2,3
730,2024-04-12,ALKS,25.049999237060547,25.170000076293945,24.15999984741211,24.420000076293945,1895000.0,30.2721027594805,1,2,3
731,2024-04-15,ALKS,24.239999771118164,24.63999938964844,23.920000076293945,24.020000457763672,2713300.0,28.508867038888763,1,2,3
732,2024-04-16,ALKS,23.84000015258789,24.100000381469727,23.649999618530277,23.770000457763672,1579900.0,27.43336322431721,1,2,3
733,2024-04-17,ALKS,23.940000534057617,24.59000015258789,23.739999771118164,24.01000022888184,2257000.0,30.15736939712562,1,2,3
734,2024-04-18,ALKS,23.86000061035156,24.13999938964844,23.6200008392334,23.76000022888184,1798800.0,28.93875905298084,1,2,3
735,2024-04-19,ALKS,23.649999618530277,23.8700008392334,23.479999542236328,23.850000381469727,2414800.0,30.03483634260331,1,2,3
984,2024-04-10,AMPH,40.08000183105469,40.4900016784668,39.63999938964844,40.04999923706055,403800.0,26.350545741831404,1,2,3
985,2024-04-11,AMPH,40.34999847412109,40.4900016784668,39.810001373291016,40.150001525878906,375300.0,27.183080077155147,1,2,3
