Time,Stock Symbol,Stock Last Price,Type,Strike Price,Volume,Expiration Date,Days To Expiration,Bid Price,Midpoint,Ask Price,Last Price,Open Interest,VOI Ratio,Volatility
2024-07-0115:58 EST,MAXN,0.5488,Put,2,966,2024-07-19,18,1.7,1.73,1.75,1.75,6592,0.15,1019.37%
2024-07-0112:38 EST,SPCE,7.93,Put,0.5,2061,2024-07-19,18,0.11,0.15,0.18,0.15,28192,0.07,1001.47%
2024-07-0115:59 EST,MAXN,0.5488,Put,1,1173,2024-07-19,18,0.75,0.78,0.8,0.8,66148,0.02,987.13%
2024-07-0115:59 EST,MAXN,0.5488,Put,1.5,597,2024-07-19,18,1.2,1.25,1.3,1.25,56344,0.01,953.78%
2024-07-0115:48 EST,MAXN,0.5488,Put,0.5,2326,2024-07-19,18,0.3,0.32,0.35,0.3,55684,0.04,790.02%
2024-07-0115:17 EST,GSM,5.49,Call,3,5207,2024-07-19,18,1.45,2.53,3.6,2.47,5204,1,630.14%
2024-07-0115:56 EST,MAXN,0.5488,Put,0.5,599,2024-08-16,46,0.35,0.38,0.4,0.35,3415,0.18,606.10%
2024-07-0115:56 EST,"NVDA
watching",124.3,Call,0.5,2216,2025-01-17,200,123.5,123.93,124.35,123.99,43038,0.05,448.46%
2024-07-0115:38 EST,FGEN,0.7701,Call,2,1358,2024-07-19,18,0.1,0.13,0.15,0.1,635,2.14,442.71%
2024-07-0115:38 EST,FGEN,0.7701,Call,1.5,1305,2024-07-19,18,0.05,0.1,0.15,0.14,1233,1.06,432.33%
2024-07-0115:59 EST,SANA,5.47,Put,2.5,1143,2024-07-19,18,0.15,0.2,0.25,0.25,2177,0.53,364.31%
2024-07-0115:59 EST,"NVDA
watching",124.3,Call,0.5,2480,2024-12-20,172,123.55,123.93,124.3,123.85,4491,0.55,362.90%
2024-07-0114:55 EST,FFIE,0.4599,Call,1,1449,2024-08-16,46,0.11,0.11,0.12,0.12,8660,0.17,344.38%
2024-07-0115:51 EST,FFIE,0.4599,Put,0.5,722,2024-07-26,25,0.18,0.19,0.19,0.2,2097,0.34,341.00%
2024-07-0115:07 EST,WBA,11.58,Put,22.5,515,2024-07-19,18,9.7,10.9,12.1,10.7,987,0.52,337.47%
2024-07-0115:57 EST,FFIE,0.4599,Put,0.5,507,2024-07-19,18,0.16,0.17,0.17,0.16,15076,0.03,336.68%
2024-07-0115:56 EST,ANVS,5.27,Put,2.5,1038,2024-07-19,18,0.15,0.18,0.2,0.2,26651,0.04,327.87%
2024-07-0115:57 EST,SANA,5.47,Put,5,1066,2024-07-19,18,1.2,1.23,1.25,1.15,6570,0.16,320.52%
2024-07-0115:59 EST,GME,23.33,Call,125,10203,2024-07-19,18,0.11,0.11,0.12,0.11,35939,0.28,319.70%
2024-07-0115:59 EST,FFIE,0.4599,Put,0.5,533,2024-08-16,46,0.22,0.23,0.24,0.22,8166,0.07,311.72%
2024-07-0115:07 EST,WBA,11.58,Put,20,1435,2024-07-19,18,7.35,8.5,9.65,8.2,8411,0.17,311.05%
2024-07-0115:59 EST,FFIE,0.4599,Call,0.5,2032,2024-07-19,18,0.11,0.11,0.12,0.11,11502,0.18,308.65%
2024-07-0115:52 EST,FFIE,0.4599,Call,0.5,668,2024-08-16,46,0.18,0.19,0.19,0.18,15051,0.04,306.68%
2024-07-0115:59 EST,GME,23.33,Call,100,1715,2024-07-19,18,0.16,0.2,0.23,0.16,21884,0.08,300.89%
2024-07-0115:57 EST,PSNY,0.9158,Call,1.5,1801,2024-07-19,18,0.05,0.08,0.1,0.1,4761,0.38,298.15%
2024-07-0115:58 EST,OMEX,4.7,Put,3,646,2024-07-19,18,0.3,0.32,0.35,0.35,1732,0.37,296.80%
