Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
CFG,CitizensFinan,35.83,-0.20,-0.56%,13071,84344,26.20%,+154.84%,11877,1194,0.1005
INFY,InfosysLtdAD,18.76,+0.14,0.75%,5183,62952,43.04%,+150.51%,4856,327,0.0673
ROKU,RokuInc,62.47,+2.54,4.24%,88688,270513,64.58%,+148.58%,70513,18175,0.2578
VFC,V.F.Corp,12.84,-0.66,-4.89%,29993,404450,39.34%,+143.13%,5080,24913,4.9041
GNRC,GeneracHoldin,133.16,+0.94,0.71%,7094,52543,40.25%,+141.87%,5500,1594,0.2898
COF,CapitalOneFi,139.7,+1.25,0.90%,14532,106092,44.44%,+138.42%,12413,2119,0.1707
DHR,DanaherCorp,244.51,-5.34,-2.14%,11946,87805,69.39%,+138.30%,3128,8818,2.8191
HCA,HcaHoldingsI,315.12,-6.16,-1.92%,3725,36844,45.72%,+137.87%,943,2782,2.9502
TDS,Telephoneand,20.71,-0.02,-0.10%,3867,49470,0.38%,+132.95%,3832,35,0.0091
LYB,Lyondellbasell,94.64,-1.02,-1.07%,3677,72080,23.24%,+132.87%,2374,1303,0.5489
CENX,CenturyAlumin,16.67,-0.08,-0.48%,2642,40531,38.29%,+129.14%,2518,124,0.0492
PZZA,PapaJohIn,45.97,-1.01,-2.15%,10757,98534,100.00%,+128.19%,9181,1576,0.1717
WM,WasteManageme,209.36,-3.98,-1.87%,7845,28695,67.72%,+126.67%,7335,510,0.0695
GEO,GeoGroupInc,15.03,+0.67,4.67%,13911,170812,36.44%,+126.20%,12621,1290,0.1022
BNTX,BiontechSeAD,78.83,-1.53,-1.90%,5522,49175,32.91%,+124.84%,2965,2557,0.8624
XPEV,XpengIncADR,7.71,+0.38,5.18%,36566,296886,24.39%,+122.34%,23683,12883,0.5440
STT,StateStreetC,73.56,-0.44,-0.59%,2571,38998,47.95%,+119.93%,2331,240,0.1030
FL,FootlockerInc,23.12,-1.80,-7.22%,10611,131166,11.94%,+118.96%,3409,7202,2.1126
MED,MedifastInc,21.03,-0.79,-3.62%,2998,16668,85.45%,+118.67%,406,2592,6.3842
NEP,NexteraEnergy,25.21,-2.43,-8.79%,6110,80510,27.91%,+112.67%,2453,3657,1.4908
FUBO,FubotvInc,1.26,+0.02,1.61%,15106,307813,35.87%,+112.64%,11751,3355,0.2855
AEO,AmericanEagle,19.4,-0.56,-2.81%,8051,55153,14.17%,+112.09%,5010,3041,0.6070
TME,TencentMusic,14.34,+0.29,2.06%,3618,122232,28.36%,+108.53%,3576,42,0.0117
CNQ,CanadianNatur,35.9,+0.30,0.84%,7200,168570,28.70%,+106.54%,3875,3325,0.8581
AGNC,AgncInvestmen,9.48,-0.06,-0.63%,49551,555893,14.44%,+106.52%,14237,35314,2.4804
GSK,GskPlcADR,38.38,-0.12,-0.31%,12559,84841,72.73%,+105.25%,11657,902,0.0774
DVN,DevonEnergyC,47.73,+0.33,0.70%,55050,517965,9.99%,+103.95%,50409,4641,0.0921
GS,GoldmanSachs,463.66,+11.34,2.51%,40636,238582,48.14%,+101.98%,28120,12516,0.4451
WULF,TerawulfInc,5.21,+0.76,17.08%,89399,395234,5.73%,+95.24%,78607,10792,0.1373
HUMA,HumacyteInc,5.37,+0.57,11.87%,4513,36078,63.53%,+95.20%,3663,850,0.2321
GEHC,GEHealthcare,76.26,-1.66,-2.13%,4761,76638,56.59%,+92.91%,3234,1527,0.4722
VSCO,VictoriasSecr,16.03,-1.64,-9.28%,11614,50467,19.35%,+90.83%,9645,1969,0.2041
SHAK,ShakeShackIn,86.57,-3.43,-3.81%,2865,27100,54.09%,+90.62%,2070,795,0.3841
JWN,Nordstrom,21.25,+0.03,0.14%,5153,139448,5.73%,+90.22%,3922,1231,0.3139
CBRL,CrackerBarrel,40.8,-1.36,-3.23%,3696,37267,75.91%,+90.03%,3003,693,0.2308
URBN,UrbanOutfitte,42.55,+1.50,3.65%,2793,24004,26.61%,+89.48%,428,2365,5.5257
APLD,AppliedDigita,6.5,+0.55,9.24%,24052,113194,67.06%,+87.95%,23244,808,0.0348
MS,MorganStanley,99.16,+1.97,2.03%,43193,671551,43.46%,+86.27%,33237,9956,0.2995
AMKR,AmkorTechnolo,40.24,+0.22,0.55%,2612,20115,56.26%,+85.64%,1582,1030,0.6511
VKTX,VikingThera,55.32,+2.31,4.36%,32433,182066,50.84%,+85.53%,27507,4926,0.1791
APA,ApaCorp,29.63,+0.19,0.65%,34871,263917,29.05%,+82.79%,18763,16108,0.8585
ET,EnergyTransfe,16.36,+0.14,0.86%,51615,915171,14.87%,+81.78%,44121,7494,0.1699
CLMT,CalumetSpecia,16.13,+0.08,0.50%,3138,79301,52.09%,+80.55%,1989,1149,0.5777
MARA,MarathonDigit,22.56,+2.71,13.65%,497599,1001497,0.00%,+77.47%,334283,163316,0.4886
NTNX,NutanixInc,59.41,+2.56,4.50%,4513,83198,14.86%,+76.50%,2893,1620,0.5600
