Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
CAT,CaterpillarIn,329.08,-4.02,-1.21%,18807,217249,14.79%,-8.29%,13879,4928,0.3551
UPS,UnitedParcel,135.95,-0.90,-0.66%,21979,332388,59.90%,-8.37%,10775,11204,1.0398
QS,QuantumscapeC,4.87,-0.05,-1.02%,9777,304065,13.54%,-8.66%,7933,1844,0.2324
RXRX,RecursionPhar,7.46,-0.04,-0.53%,4779,104863,27.52%,-8.80%,3491,1288,0.3689
C,CitigroupInc,63.43,-0.03,-0.05%,98370,2172634,34.44%,-9.14%,75827,22543,0.2973
HUM,HumanaInc,373.49,-0.16,-0.04%,4138,101217,48.31%,-9.23%,2469,1669,0.6760
ANF,Abercrombie&,184.59,+6.75,3.80%,7593,85128,15.13%,-9.26%,3931,3662,0.9316
KO,Coca-ColaComp,63.28,-0.37,-0.58%,29884,458071,24.00%,-9.39%,17929,11955,0.6668
LCID,LucidGroupIn,2.64,+0.03,1.15%,33829,1627967,18.13%,-9.42%,22997,10832,0.4710
WAL,WesternAllian,62.6,-0.22,-0.35%,2475,58747,41.03%,-9.97%,1498,977,0.6522
TTD,TradeDeskInc,97.97,+0.30,0.31%,16132,256369,26.34%,-10.10%,10336,5796,0.5608
SMCI,SuperMicroCo,812.32,-7.03,-0.86%,197701,309870,38.19%,-10.50%,114585,83116,0.7254
ANVS,AnnovisBioIn,5.27,-0.49,-8.51%,2948,82126,19.10%,-10.59%,1025,1923,1.8761
NCLH,NorwegianCrui,17.68,-1.11,-5.91%,41516,553533,40.49%,-10.60%,21732,19784,0.9104
BRK.B,BerkshireHath,405.19,-1.61,-0.40%,17404,364226,17.23%,-10.90%,12187,5217,0.4281
BMY,Bristol-Myers,41.3,-0.23,-0.55%,31841,735520,87.42%,-11.05%,19948,11893,0.5962
AAL,AmericanAirli,11.04,-0.29,-2.56%,103084,3376278,63.86%,-11.08%,52358,50726,0.9688
FDX,FedexCorp,298.68,-1.16,-0.39%,34962,231646,9.03%,-11.26%,16216,18746,1.1560
APH,AmphenolCorp,67.52,+0.15,0.22%,2677,122736,55.32%,-11.27%,2490,187,0.0751
ABR,ArborRealtyT,14.19,-0.16,-1.11%,9020,408833,13.04%,-11.39%,2714,6306,2.3235
LAZR,LuminarTechno,1.41,-0.08,-5.37%,3358,287133,3.01%,-11.52%,1318,2040,1.5478
BTI,BritishAmeric,31.08,+0.15,0.48%,5095,165102,48.18%,-11.70%,2179,2916,1.3382
GCT,GigacloudTech,32,+1.58,5.19%,3622,71899,0.11%,-11.85%,2411,1211,0.5023
FCEL,FuelcellEnerg,0.6105,-0.03,-4.43%,10744,183474,23.42%,-11.95%,9093,1651,0.1816
"META
watching",MetaPlatforms,504.68,+0.46,0.09%,262950,2000042,75.17%,-12.31%,174461,88489,0.5072
RDDT,RedditIncCl,66.59,+2.70,4.23%,16631,114971,11.18%,-12.32%,12022,4609,0.3834
LMT,LockheedMarti,466.44,-0.66,-0.14%,3571,83957,41.61%,-12.33%,2927,644,0.2200
PINS,PinterestInc,43.08,-0.99,-2.25%,15219,405054,47.05%,-12.53%,6840,8379,1.2250
CROX,CrocsInc,147.75,+1.81,1.24%,4658,74183,45.40%,-12.61%,2948,1710,0.5801
LLY,EliLillyand,914.37,+8.99,0.99%,29709,246476,20.05%,-12.72%,12602,17107,1.3575
ZIM,ZimIntegrated,22.97,+0.80,3.61%,22595,510895,29.01%,-12.76%,19942,2653,0.1330
SHLS,ShoalsTechnol,6.11,-0.13,-2.08%,3123,58245,50.00%,-13.20%,3057,66,0.0216
AXP,AmericanExpre,233.81,+2.26,0.98%,10923,276516,54.89%,-13.23%,5562,5361,0.9639
OKLO,OkloInc,8,-0.47,-5.55%,8022,93714,2.56%,-13.41%,6622,1400,0.2114
OKTA,OktaIncClA,94.61,+1.00,1.07%,8482,139697,4.83%,-13.55%,7636,846,0.1108
AMD,AdvMicroDevi,157.69,-4.52,-2.79%,622209,2619019,54.25%,-13.60%,438798,183411,0.4180
PEP,PepsicoInc,162.89,-2.04,-1.24%,20238,230562,44.88%,-14.02%,15028,5210,0.3467
O,RealtyIncome,52.36,-0.46,-0.87%,4003,113392,28.68%,-14.17%,2739,1264,0.4615
DKNG,DraftkingsInc,37.3,-0.87,-2.28%,68209,674320,35.25%,-14.26%,53782,14427,0.2682
CHTR,CharterCommun,296.02,-2.94,-0.98%,3045,64792,73.98%,-14.39%,1200,1845,1.5375
NXT,NextrackerInc,46.12,-0.76,-1.62%,2828,64363,23.69%,-14.87%,1455,1373,0.9436
MU,MicronTechnol,131.52,-0.01,-0.01%,243988,1483923,26.92%,-14.90%,169885,74103,0.4362
CAR,AvisBudgetGr,101.28,-3.24,-3.10%,2895,44560,54.44%,-15.35%,1915,980,0.5117
HOOD,RobinhoodMark,22.79,+0.08,0.35%,129538,1178572,56.25%,-15.43%,81881,47657,0.5820
FSLR,FirstSolarIn,222.71,-2.75,-1.22%,39789,499219,58.86%,-15.55%,18357,21432,1.1675
MCHP,MicrochipTech,91.59,+0.09,0.10%,3129,131588,33.60%,-15.61%,790,2339,2.9608
"NVDA
watching",NvidiaCorp,124.3,+0.76,0.62%,4108042,30176195,38.89%,-15.70%,2539641,1568401,0.6176
OZK,BankOzk,40.79,-0.21,-0.51%,2566,49357,26.24%,-16.01%,718,1848,2.5738
PLUG,PlugPowerInc,2.28,-0.05,-2.15%,26727,1004971,30.07%,-16.03%,24535,2192,0.0893
ANET,AristaNetwork,356.7,+6.22,1.77%,9175,106853,29.23%,-16.29%,4696,4479,0.9538
"MSFT
watching",MicrosoftCorp,456.73,+9.78,2.19%,217985,2182026,51.90%,-16.40%,116827,101158,0.8659
PSX,Phillips66,140.93,-0.24,-0.17%,2593,70814,43.11%,-16.57%,1630,963,0.5908
YPF,YpfSociedadA,19.34,-0.78,-3.88%,4351,121985,60.53%,-16.68%,2138,2213,1.0351
"AAPL
watching",AppleInc,216.75,+6.13,2.91%,1428971,6387346,57.36%,-17.45%,907320,521651,0.5749
ABNB,AirbnbIncCl,151.63,+0.00,0.00%,19540,341005,21.19%,-17.91%,11021,8519,0.7730
TOST,ToastIncClA,25.46,-0.31,-1.20%,10322,188808,31.87%,-18.01%,8859,1463,0.1651
PFE,PfizerInc,28.22,+0.24,0.86%,108996,2712576,51.32%,-18.37%,78025,30971,0.3969
TXN,TexasInstrume,194.6,+0.07,0.04%,10100,272087,74.11%,-18.80%,3389,6711,1.9802
SOUN,SoundhoundAi,3.89,-0.06,-1.52%,12547,411081,19.05%,-18.83%,8602,3945,0.4586
ASML,AsmlHoldings,1033.49,+10.76,1.05%,9085,83087,82.45%,-19.01%,4662,4423,0.9487
JMIA,JumiaTechnolo,7.15,+0.13,1.85%,15122,108634,58.25%,-19.32%,7110,8012,1.1269
CVNA,CarvanaCompan,124.35,-4.37,-3.39%,56120,446901,21.38%,-19.45%,39287,16833,0.4285
SOFI,SofiTechnolog,6.43,-0.18,-2.72%,127443,2625663,26.03%,-19.63%,92433,35010,0.3788
CGC,CanopyGrowth,6.39,-0.06,-0.93%,19990,542857,2.36%,-19.87%,11004,8986,0.8166
MP,MPMaterialsC,12.8,+0.07,0.55%,3129,171927,47.46%,-20.08%,2156,973,0.4513
COIN,CoinbaseGloba,233.37,+11.14,5.01%,125113,680229,11.70%,-20.16%,75521,49592,0.6567
RCL,RoyalCaribbea,156.47,-2.96,-1.86%,11203,210654,47.90%,-20.34%,4669,6534,1.3994
SNDL,SndlInc,1.92,+0.02,1.05%,3361,159091,34.17%,-20.54%,3063,298,0.0973
PLTR,PalantirTechn,25.88,+0.55,2.17%,295052,2392288,11.25%,-20.59%,214393,80659,0.3762
SWKS,SkyworksSolut,106.4,-0.18,-0.17%,4154,76167,42.35%,-20.65%,3422,732,0.2139
MGM,MGMResortsIn,42.86,-1.58,-3.56%,7955,137166,35.72%,-21.80%,3879,4076,1.0508
SYM,SymboticInc,35.48,+0.32,0.91%,2804,56343,16.11%,-21.83%,1331,1473,1.1067
S,SentineloneIn,20.36,-0.69,-3.28%,5646,189423,2.77%,-21.91%,5002,644,0.1287
ONON,OnHoldingAg,38.03,-0.77,-1.98%,10549,357912,12.04%,-22.27%,7158,3391,0.4737
SHOP,ShopifyInc,64.63,-1.42,-2.15%,68189,719653,37.77%,-22.37%,51211,16978,0.3315
MOS,MosaicCompany,27.96,-0.94,-3.25%,6998,165316,20.95%,-22.60%,2462,4536,1.8424
DHI,D.R.Horton,137.02,-3.91,-2.77%,4024,66632,59.71%,-22.60%,1545,2479,1.6045
MDT,MedtronicInc,77.12,-1.59,-2.02%,6220,157321,41.17%,-22.64%,3184,3036,0.9535
ENVX,EnovixCorp,15.1,-0.36,-2.33%,31459,670053,37.20%,-22.70%,25813,5646,0.2187
ENPH,EnphaseEnergy,97.26,-2.45,-2.46%,39957,278327,68.70%,-23.42%,23048,16909,0.7336
SLB,SchlumbergerN,46.58,-0.60,-1.27%,20821,436442,31.89%,-23.56%,14975,5846,0.3904
ABBV,AbbvieInc,170.37,-1.15,-0.67%,11089,290309,43.92%,-23.98%,7875,3214,0.4081
MSTR,Microstrategy,1365.97,-11.51,-0.84%,28417,180457,31.71%,-24.03%,18122,10295,0.5681
MRVL,MarvellTechno,71,+1.10,1.57%,36626,600962,23.91%,-24.06%,26349,10277,0.3900
BROS,DutchBrosInc,41.85,+0.45,1.09%,3845,58305,48.32%,-24.09%,2612,1233,0.4721
SQ,BlockInc,63.84,-0.65,-1.01%,37084,623902,34.39%,-24.14%,25036,12048,0.4812
MET,MetlifeInc,69.88,-0.31,-0.44%,2977,180593,37.29%,-24.40%,2276,701,0.3080
NOW,ServicenowInc,788.96,+2.29,0.29%,7942,94420,64.43%,-24.42%,4008,3934,0.9815
SIRI,SiriusXMHold,2.88,+0.05,1.77%,52555,1231475,31.98%,-24.46%,36714,15841,0.4315
CVX,ChevronCorp,156.52,+0.10,0.06%,27028,471239,24.08%,-24.71%,16975,10053,0.5922
JNJ,Johnson&John,146.44,+0.28,0.19%,20239,307325,44.55%,-24.84%,13310,6929,0.5206
ZI,ZoominfoTechn,12.68,-0.09,-0.70%,10072,345613,66.32%,-24.94%,8942,1130,0.1264
HIVE,HiveDigitalT,3.22,+0.14,4.55%,2911,100390,18.03%,-25.45%,2652,259,0.0977
EL,EsteeLauderC,105.38,-1.02,-0.96%,11275,181921,27.30%,-25.51%,3628,7647,2.1078
MRK,Merck&Compan,127.9,+4.10,3.31%,19811,300710,37.90%,-25.69%,12709,7102,0.5588
HD,HomeDepot,336.19,-8.05,-2.34%,18290,209288,27.65%,-25.84%,12362,5928,0.4795
DOCU,DocusignInc,55.14,+1.64,3.07%,16856,131806,1.82%,-26.53%,15150,1706,0.1126
DDOG,DatadogIncCl,130.5,+0.81,0.62%,13980,264709,14.61%,-26.66%,11131,2849,0.2560
WHR,WhirlpoolCorp,100.87,-1.33,-1.30%,5384,84629,68.57%,-26.66%,2941,2443,0.8307
NEE,NexteraEnergy,69.9,-0.91,-1.29%,19759,447327,34.52%,-27.06%,15426,4333,0.2809
PATH,UipathIncCl,12.88,+0.20,1.58%,25466,417186,9.25%,-27.10%,22356,3110,0.1391
INTC,IntelCorp,30.84,-0.13,-0.42%,144055,3108512,61.41%,-27.33%,75674,68381,0.9036
LNG,CheniereEnerg,173.08,-1.75,-1.00%,3179,95352,10.62%,-27.82%,2445,734,0.3002
NRG,NRGEnergy,77.85,-0.01,-0.01%,4230,162104,92.77%,-28.31%,1068,3162,2.9607
ASO,AcademySports,50.66,-2.59,-4.86%,3564,32744,8.17%,-28.61%,748,2816,3.7647
PYPL,PaypalHolding,57.81,-0.22,-0.38%,77785,1601958,49.56%,-28.71%,56073,21712,0.3872
NFE,NewFortressE,20.4,-1.58,-7.19%,3337,125472,100.00%,-28.71%,2858,479,0.1676
AIG,AmericanInter,74.49,+0.25,0.34%,6906,180327,71.10%,-29.43%,6068,838,0.1381
EXPE,ExpediaGroup,122.5,-3.49,-2.77%,4817,101629,53.63%,-30.11%,1996,2821,1.4133
KR,KrogerCompany,50.56,+0.63,1.26%,12819,273507,1.37%,-30.22%,7827,4992,0.6378
COST,CostcoWholesa,845.67,-4.32,-0.51%,24096,231236,15.76%,-30.32%,11093,13003,1.1722
PANW,PaloAltoNetw,340.9,+1.89,0.56%,30756,444109,24.72%,-30.48%,18669,12087,0.6474
AMGN,AmgenInc,311.01,-1.44,-0.46%,6098,165198,25.99%,-30.74%,3184,2914,0.9152
HIMS,Hims&HersHe,21.42,+1.23,6.09%,31533,325145,56.11%,-31.23%,24210,7323,0.3025
IREN,IrisEnergyLt,12.62,+1.33,11.78%,38239,492610,25.06%,-31.87%,25560,12679,0.4960
NVAX,NovavaxInc,12.73,+0.07,0.55%,25844,366124,39.00%,-31.90%,21202,4642,0.2189
SMR,NuscalePower,10.93,-0.76,-6.50%,4081,116417,38.52%,-31.92%,3000,1081,0.3603
DELL,DellTechnolog,142.82,+4.91,3.56%,115660,615746,41.39%,-32.14%,80050,35610,0.4448
OPEN,OpendoorTechn,1.79,-0.05,-2.72%,5960,348546,25.23%,-32.86%,4791,1169,0.2440
"GOOG
watching",AlphabetClC,184.49,+1.07,0.58%,74909,1223363,55.90%,-32.95%,51372,23537,0.4582
GPS,GapInc,23.27,-0.62,-2.60%,11667,217154,14.08%,-33.30%,7881,3786,0.4804
TPX,Tempur-PedicI,47.21,-0.13,-0.27%,4591,89164,64.54%,-33.52%,3180,1411,0.4437
KMI,KinderMorgan,19.79,-0.08,-0.40%,9697,491339,36.69%,-33.93%,8530,1167,0.1368
BAC,BankofAmeric,40.01,+0.24,0.60%,135097,2943236,34.15%,-34.13%,68408,66689,0.9749
TGTX,TgTherapeutic,18.15,+0.36,2.02%,2527,100818,16.84%,-34.19%,1954,573,0.2932
HSY,HersheyFoods,182.45,-1.38,-0.75%,2918,74237,48.51%,-34.35%,1702,1216,0.7145
"TEVA
watching",TevaPharmaceu,16.34,+0.09,0.55%,16813,591433,27.95%,-35.26%,12339,4474,0.3626
KVUE,KenvueInc,17.95,-0.23,-1.27%,3585,266489,35.57%,-35.38%,2218,1367,0.6163
IOVA,IovanceBiothe,8.06,+0.04,0.50%,3723,142924,33.09%,-35.57%,3441,282,0.0820
DXCM,DexcomInc,112.17,-1.21,-1.07%,3150,91558,36.30%,-35.65%,2401,749,0.3120
PENN,PennEntertain,18.78,-0.57,-2.97%,18462,293967,55.12%,-35.93%,14016,4446,0.3172
PCT,PurecycleTech,5.83,-0.09,-1.52%,3832,225425,10.62%,-36.69%,2826,1006,0.3560
BITF,BitfarmsLtd,2.68,+0.11,4.28%,11868,409481,18.30%,-36.77%,10465,1403,0.1341
MPC,MarathonPetro,174.79,+1.31,0.76%,3060,115049,46.35%,-36.79%,1912,1148,0.6004
CORZ,CoreScientifi,9.85,+0.55,5.91%,33338,513363,44.31%,-36.88%,25677,7661,0.2984
BIDU,BaiduIncADR,86.21,-0.27,-0.31%,24086,327049,8.57%,-36.90%,17980,6106,0.3396
FTNT,FortinetInc,59.85,-0.42,-0.70%,5016,171484,38.77%,-36.96%,2494,2522,1.0112
KHC,KraftHeinzCo,31.86,-0.36,-1.12%,10972,267931,27.37%,-36.99%,7262,3710,0.5109
HUT,Hut8Corp,15.25,+0.26,1.73%,15997,264631,18.08%,-37.00%,8347,7650,0.9165
RBLX,RobloxCorpCl,37.06,-0.15,-0.40%,18614,449766,12.17%,-37.20%,14425,4189,0.2904
EOG,EogResources,126.54,+0.67,0.53%,3377,171582,59.73%,-37.54%,2303,1074,0.4663
PBR,PetroleoBrasi,14.5,+0.01,0.07%,20077,1245896,40.24%,-37.75%,13976,6101,0.4365
U,UnitySoftware,15.81,-0.45,-2.77%,27172,612195,39.16%,-38.28%,17597,9575,0.5441
DD,DupontDenemou,79.27,-1.22,-1.52%,2634,132077,71.01%,-38.39%,1603,1031,0.6432
VST,VistraEnergy,87.34,+1.36,1.58%,17194,283590,95.38%,-38.60%,12038,5156,0.4283
HL,HeclaMiningC,4.77,-0.08,-1.65%,5805,245931,21.76%,-38.64%,4659,1146,0.2460
NVO,NovoNordiskA,145.42,+2.68,1.88%,13921,234278,12.24%,-38.75%,8632,5289,0.6127
ADM,ArcherDaniels,60.64,+0.19,0.31%,4033,165853,36.04%,-39.10%,2393,1640,0.6853
CMA,ComericaInc,50.8,-0.24,-0.47%,3240,109665,23.77%,-39.89%,2401,839,0.3494
CVS,CVSCorp,58.15,-0.91,-1.54%,33944,576331,38.12%,-40.04%,25240,8704,0.3448
IEP,IcahnEnterpri,16.31,-0.17,-1.03%,2492,99365,19.30%,-40.27%,2230,262,0.1175
PDD,PddHoldingsI,132.98,+0.03,0.02%,37568,1268407,6.78%,-40.48%,26538,11030,0.4156
GOOGL,AlphabetClA,182.99,+0.84,0.46%,106906,2114274,61.05%,-40.61%,73896,33010,0.4467
VLY,ValleyNationa,6.89,-0.09,-1.29%,4001,220784,23.63%,-40.96%,118,3883,32.9068
AG,FirstMajestic,5.76,-0.16,-2.70%,8619,541431,37.21%,-41.01%,6685,1934,0.2893
KEY,Keycorp,14.22,+0.01,0.07%,6513,201321,47.50%,-41.09%,5004,1509,0.3016
LEVI,LeviStrauss&,19.22,-0.06,-0.31%,3297,75098,7.19%,-41.34%,2266,1031,0.4550
SBUX,StarbucksCorp,77.13,-0.72,-0.92%,49595,933340,96.79%,-41.52%,33098,16497,0.4984
RTX,RtxCorp,99.55,-0.84,-0.84%,8791,376554,34.29%,-41.58%,6590,2201,0.3340
NFLX,NetflixInc,673.61,-1.27,-0.19%,48388,442001,78.44%,-41.61%,26178,22210,0.8484
PM,PhilipMorris,101.25,-0.08,-0.08%,6577,139601,58.17%,-41.61%,3868,2709,0.7004
SEDG,SolaredgeTech,23.97,-1.29,-5.11%,14912,225839,58.43%,-41.76%,7638,7274,0.9523
BB,BlackberryLtd,2.42,-0.06,-2.42%,26695,324006,13.88%,-42.35%,22686,4009,0.1767
ARM,ArmHoldingsP,158.83,-4.79,-2.93%,97100,701609,19.51%,-42.68%,53946,43154,0.7999
TGT,TargetCorp,145.74,-2.30,-1.55%,20634,348336,10.76%,-42.90%,12277,8357,0.6807
BP,BPPlcADR,36.43,+0.33,0.91%,12116,503346,33.57%,-43.25%,7603,4513,0.5936
JBL,JabilCircuit,108.52,-0.27,-0.25%,2659,41482,10.52%,-43.29%,1616,1043,0.6454
WMT,WalmartInc,67.48,-0.23,-0.34%,48511,1048469,25.67%,-43.62%,33768,14743,0.4366
APP,ApplovinCorp,84.82,+1.60,1.92%,6047,134552,23.94%,-43.89%,3836,2211,0.5764
BLNK,BlinkCharging,2.68,-0.06,-2.19%,3835,118401,9.94%,-43.99%,3160,675,0.2136
ADSK,AutodeskInc,245.83,-1.62,-0.65%,4012,69612,9.62%,-44.04%,2301,1711,0.7436
WDAY,WorkdayInc,224.72,+1.16,0.52%,6862,129141,6.23%,-44.10%,4556,2306,0.5061
AMC,AMCEntertainm,5.04,+0.06,1.20%,185349,1336276,7.57%,-44.66%,151478,33871,0.2236
NET,CloudflareInc,83.95,+1.12,1.35%,9144,203722,33.32%,-44.90%,7280,1864,0.2560
GOLD,BarrickGoldC,16.56,-0.12,-0.72%,29426,1222950,35.60%,-45.09%,19678,9748,0.4954
NUE,NucorCorp,157,-1.08,-0.68%,2607,96016,72.63%,-45.27%,1491,1116,0.7485
BEKE,KeHoldingsIn,14.78,+0.63,4.45%,4764,330511,54.72%,-45.30%,4401,363,0.0825
PARA,ParamountGlob,10.14,-0.25,-2.41%,32239,770193,29.93%,-45.36%,23382,8857,0.3788
AMAT,AppliedMateri,237.41,+1.42,0.60%,12021,225082,35.03%,-45.44%,7211,4810,0.6670
USB,U.S.Bancorp,39.24,-0.46,-1.16%,4222,213451,53.43%,-46.08%,2511,1711,0.6814
SPOT,SpotifyTechno,313.84,+0.05,0.02%,6721,149213,82.01%,-46.21%,4358,2363,0.5422
QCOM,QualcommInc,200.03,+0.85,0.43%,43084,938070,81.31%,-46.24%,28131,14953,0.5315
ALB,AlbemarleCorp,97.41,+1.89,1.98%,11830,250795,56.44%,-46.27%,8009,3821,0.4771
COP,Conocophillips,114.36,-0.02,-0.02%,9243,298263,20.49%,-46.45%,6391,2852,0.4463
VRT,VertivHolding,86.66,+0.09,0.10%,25927,325019,64.12%,-46.83%,17566,8361,0.4760
SU,SuncorEnergy,38.22,+0.12,0.31%,4977,164020,26.20%,-46.92%,2496,2481,0.9940
AFRM,AffirmHolding,29.83,-0.38,-1.26%,33232,418190,2.47%,-47.10%,24319,8913,0.3665
DJT,TrumpMedia&,33.08,+0.33,1.01%,66701,427647,28.99%,-47.23%,43844,22857,0.5213
CRSP,CrisprTherape,53.95,-0.06,-0.11%,3058,73747,25.67%,-47.27%,2255,803,0.3561
HAL,HalliburtonCo,33.43,-0.35,-1.04%,10174,361950,24.71%,-47.34%,7354,2820,0.3835
VALE,ValeS.A.ADR,11.2,+0.03,0.27%,21723,1899865,30.94%,-47.48%,17476,4247,0.2430
CRWD,CrowdstrikeHo,392.15,+8.96,2.34%,39827,284795,9.46%,-47.80%,21258,18569,0.8735
BABA,AlibabaGroup,72.18,+0.18,0.25%,75551,2144901,8.81%,-48.06%,59743,15808,0.2646
UAL,UnitedAirline,48.33,-0.33,-0.68%,22566,712883,73.59%,-48.21%,12793,9773,0.7639
GME,GamestopCorp,23.33,-1.36,-5.51%,414172,1186435,23.41%,-49.61%,285940,128232,0.4485
DASH,DoordashIncC,108.51,-0.27,-0.25%,7090,238112,41.15%,-49.61%,3498,3592,1.0269
UPST,UpstartHoldin,22.9,-0.69,-2.92%,22241,357538,5.51%,-49.62%,13258,8983,0.6776
CCJ,CamecoCorp,50.22,+1.02,2.07%,11965,303882,50.96%,-49.80%,6868,5097,0.7421
FFIE,FaradayFuture,0.4599,-0.05,-9.22%,51115,402097,28.27%,-51.31%,39323,11792,0.2999
SCHW,TheCharlesSc,73.42,-0.27,-0.37%,8543,489559,22.87%,-51.49%,4988,3555,0.7127
APO,ApolloAssetM,118.74,+0.67,0.57%,3877,198500,52.43%,-52.18%,1832,2045,1.1163
FSLY,FastlyInc,7.23,-0.14,-1.90%,2426,121109,48.43%,-53.76%,1993,433,0.2173
NEM,NewmontMining,41.65,-0.22,-0.53%,14651,817190,55.40%,-53.97%,9804,4847,0.4944
LRCX,LamResearchC,1060.63,-4.22,-0.40%,5493,63218,72.58%,-54.13%,3066,2427,0.7916
PCG,PacificGas&,17.17,-0.29,-1.66%,3674,384398,44.77%,-54.20%,2606,1068,0.4098
AI,C3.AiIncClA,28.61,-0.35,-1.21%,26522,461484,0.00%,-54.33%,19440,7082,0.3643
DKS,DicSportin,202.39,-12.46,-5.80%,4558,123202,12.47%,-54.33%,2398,2160,0.9008
FUTU,FutuHoldings,64.17,-1.44,-2.19%,2463,82686,12.67%,-55.23%,1390,1073,0.7719
SPWR,SunpowerCorp,2.71,-0.25,-8.45%,11492,155141,24.15%,-55.32%,8011,3481,0.4345
ORCL,OracleCorp,143.09,+1.89,1.34%,42277,477289,3.16%,-55.37%,22269,20008,0.8985
LYFT,LyftIncClA,13.97,-0.13,-0.92%,26188,465912,6.09%,-55.44%,17474,8714,0.4987
DG,DollarGeneral,130.58,-1.65,-1.25%,4323,156150,25.60%,-55.62%,2479,1844,0.7438
PAAS,PanAmerSilve,19.61,-0.27,-1.36%,3547,200063,41.09%,-55.82%,2827,720,0.2547
RKT,RocketCompani,13.16,-0.54,-3.94%,3217,100048,32.99%,-55.92%,1878,1339,0.7130
TEAM,AtlassianCorp,178.25,+1.37,0.77%,2683,53282,51.96%,-56.05%,1591,1092,0.6864
SPCE,VirginGalacti,7.93,-0.50,-5.93%,8155,455653,19.46%,-56.24%,2850,5305,1.8614
TSM,TaiwanSemicon,172.33,-1.48,-0.85%,88636,1538156,81.06%,-56.45%,43573,45063,1.0342
UEC,UraniumEnergy,5.76,-0.25,-4.16%,2494,197475,66.22%,-56.45%,1900,594,0.3126
GE,GEAerospace,158.97,+0.00,0.00%,13451,342701,78.20%,-56.50%,8316,5135,0.6175
LUV,SouthwestAirl,28.11,-0.50,-1.75%,15659,450195,68.29%,-57.70%,8021,7638,0.9523
ADBE,AdobeSystems,560.01,+4.47,0.80%,23490,300807,2.73%,-59.77%,12801,10689,0.8350
TJX,TJXCompanies,110.58,+0.48,0.44%,7198,231129,14.46%,-59.87%,5102,2096,0.4108
GILD,GileadScience,68.64,+0.03,0.04%,10371,295341,36.51%,-60.20%,7118,3253,0.4570
FCX,Freeport-Mcmor,48.41,-0.19,-0.39%,29036,1053425,76.50%,-60.74%,14355,14681,1.0227
CRM,SalesforceInc,256.21,-0.89,-0.35%,40980,489542,17.61%,-60.88%,22732,18248,0.8027
IBRX,ImmunitybioIn,6.27,-0.05,-0.79%,2955,202096,19.43%,-61.85%,2650,305,0.1151
HPE,HewlettPackar,21.16,-0.01,-0.05%,33459,529432,15.16%,-62.00%,24738,8721,0.3525
RH,RhCommonStoc,238.67,-5.77,-2.36%,4646,78165,32.02%,-62.02%,2142,2504,1.1690
CLF,Cleveland-Clif,15.39,+0.00,0.00%,14496,662111,58.33%,-62.02%,9362,5134,0.5484
BBY,BestBuyCompa,82.29,-2.00,-2.37%,9895,184144,17.77%,-63.74%,4854,5041,1.0385
NXE,NexgenEnergy,6.91,-0.07,-1.00%,4472,316059,57.17%,-64.08%,4230,242,0.0572
DLTR,DollarTreeIn,107.25,+0.48,0.45%,6170,174539,18.32%,-65.43%,4076,2094,0.5137
LULU,LululemonAthl,302.36,+3.66,1.23%,18083,195279,11.57%,-65.71%,11275,6808,0.6038
BILI,BilibiliIncA,15.29,-0.15,-0.97%,10160,660404,31.95%,-65.79%,7785,2375,0.3051
IOT,SamsaraIncCl,34.85,+1.15,3.41%,6191,93225,5.50%,-67.09%,4990,1201,0.2407
ACN,AccenturePlc,302.55,-0.86,-0.28%,4435,102360,14.22%,-67.11%,1907,2528,1.3256
NKLA,NikolaCorp,7.4,-0.79,-9.65%,15438,2134142,25.95%,-67.45%,10236,5202,0.5082
LEN,LennarCorp,145.93,-3.94,-2.63%,5625,100515,37.42%,-67.51%,3355,2270,0.6766
TMUS,T-MobileUS,179.08,+2.90,1.65%,7621,281723,50.65%,-67.56%,5167,2454,0.4749
HTZ,HertzGlobalH,3.61,+0.08,2.27%,3970,333749,94.24%,-67.68%,2622,1348,0.5141
VOD,VodafoneGrpP,8.87,+0.00,0.00%,2944,173228,40.80%,-68.33%,1300,1644,1.2646
NYCB,NewYorkCommu,3.24,+0.02,0.62%,4468,964852,22.04%,-68.40%,2561,1907,0.7446
ACHR,ArcherAviatio,3.42,-0.10,-2.84%,3164,257542,6.84%,-68.95%,3047,117,0.0384
TELL,TellurianInc,0.6275,-0.07,-9.40%,3733,278870,11.34%,-70.34%,2186,1547,0.7077
PTEN,Patterson-Uti,10.09,-0.27,-2.61%,2532,336240,28.26%,-72.26%,2371,161,0.0679
CSCO,CiscoSystems,47.52,+0.01,0.02%,15951,837724,18.36%,-73.16%,10602,5349,0.5045
KKR,KKR&Company,104.51,-0.73,-0.69%,2491,87053,36.87%,-75.11%,1623,868,0.5348
MBLY,MobileyeGloba,27.61,-0.47,-1.69%,10908,272102,66.55%,-75.13%,10459,449,0.0429
IP,International,43.34,+0.19,0.44%,3802,289634,65.80%,-75.67%,1403,2399,1.7099
MO,AltriaGroup,46.03,+0.48,1.05%,11157,345408,34.80%,-76.22%,8219,2938,0.3575
GLW,CorningInc,38.66,-0.19,-0.49%,3125,220799,61.54%,-77.35%,2392,733,0.3064
X,UnitedStates,38.19,+0.39,1.03%,9017,1190027,65.83%,-78.51%,7394,1623,0.2195
